2013 area unit name,2013 area unit code
Norsewood-Herbertville,549800
Owahanga,549901
Mara,549902
Dannevirke West,550101
Dannevirke East,550102
Papatawa,550200
Woodville,550500
Mangatainoka,577900
Pahiatua,578000
Eketahuna,578100
Nireaha-Tiraumea,578200
Waikanae Beach,563701
Waikanae East,563703
Peka Peka,563704
Waikanae Park,563705
Waikanae West,563706
Kaitawa,563920
Otaki Forks,564022
Te Horo,564023
Otaki,564400
Paraparaumu Beach North,565901
Otaihanga,565902
Paraparaumu Beach South,565903
Paraparaumu Central,566000
Raumati Beach,566101
Raumati South,566102
Paekakariki,566200
Kapiti Island,566301
Maungakotukutuku,566302
Pauatahanui,565601
Endeavour,565602
Resolution,565603
Adventure,565604
Paekakariki Hill,565700
Titahi Bay North,570400
Onepoto,570500
Titahi Bay South,570600
Elsdon-Takapuwahia,570700
Porirua Central,570800
Porirua East,570900
Ranui Heights,571000
Cannons Creek North,571100
Cannons Creek South,571200
Cannons Creek East,571300
Waitangirua,571400
Papakowhai North,571501
Papakowhai South,571502
Ascot Park,571600
Pukerua Bay,571800
Plimmerton,571900
Mana-Camborne,572000
Paremata-Postgate,572100
Discovery,572200
Mana Island,572300
Heretaunga,564510
Trentham South,564520
Pinehaven,564530
Moonshine Valley,564601
Riverstone Terraces,564602
Te Marua,566500
Akatarawa,566610
Emerald Hill,566620
Maoribank,566700
Clouston Park,566800
Totara Park,566900
Ebdentown,567000
Upper Hutt Central,567100
Maidstone,567200
Wallaceville,567300
Elderslea,567400
Poets Block,567500
Brentwood,567600
Trentham North,567700
Heretaunga-Silverstream,567800
Cloustonville,567901
Mangaroa,567902
Glendale,564800
Parkway,564900
Fernlea,565000
Arakura,565100
Homedale West,565200
Homedale East,565300
Pencarrow,565400
Tawhai,568101
Holborn,568102
Delaney,568103
Manuka,568104
Taita North,568201
Taita South,568202
Avalon East,568301
Naenae North,568302
Naenae South,568303
Avalon West,568401
Boulcott,568402
Epuni West,568501
Epuni East,568502
Waterloo West,568601
Waterloo East,568602
Waiwhetu North,568701
Waiwhetu South,568702
Gracefield,568800
Moera,568900
Woburn North,569001
Woburn South,569002
Hutt Central,569100
Melling,569201
Alicetown,569202
Normandale,569301
Maungaraki,569302
Tirohanga,569401
Belmont,569402
Kelson,569500
Haywards-Manor Park,569600
Korokoro,569800
Petone Central,569900
Esplanade,570000
Wilford,570100
Eastbourne,570300
Tawa South,572500
Tawa Central,572600
Linden,572701
Greenacres,572702
Thorndon-Tinakori Road,572900
Lambton,573000
Willis Street-Cambridge Terrace,573101
Aro Street-Nairn Street,573200
Mt Cook-Wallace Street,573300
Mt Victoria West,573400
Glenside North,573511
Churton Park North,573513
Churton Park South,573514
Grenada North,573522
Grenada Village,573523
Newlands East,573524
Takapu,573525
Horokiwi,573526
Johnsonville North,573600
Johnsonville Central,573700
Paparangi West,573801
Johnsonville East,573802
Paparangi,573901
Woodridge,573902
Newlands North,573903
Newlands South,574001
Ngauranga East,574002
Raroa,574100
Khandallah Park-Broadmeadows,574200
Te Kainga,574302
Ngauranga West,574303
Rangoon Heights,574304
Awarua,574401
Ngaio South,574402
Kaiwharawhara,574500
Wadestown,574600
Crofton Downs,574701
Wilton,574702
Northland North,574703
Karori North,574800
Karori Park,574900
Karori East,575000
Karori South,575100
Northland,575200
Kelburn,575300
Taitville,575400
Mitchelltown,575500
Brooklyn,575600
Vogeltown West,575701
Vogeltown,575702
Kingston-Mornington,575800
Brooklyn South,575901
Happy Valley-Owhiro Bay,575902
Island Bay West,576001
Island Bay East,576002
Melrose-Houghton Bay-Southgate,576100
Berhampore West,576200
Newtown West,576301
Berhampore East,576302
Newtown East,576400
Adelaide,576500
Oriental Bay,576600
Roseneath,576700
Hataitai North,576800
Kilbirnie East,576901
Kilbirnie West-Hataitai South,576903
Lyall Bay-Airport-Moa Point,577000
Seatoun Tunnel West,577101
Strathmore Park,577102
Miramar South,577200
Miramar North,577301
Miramar,577302
Karaka Bay-Worser Bay,577400
Seatoun,577500
Maupuia,577601
Miramar West,577602
Makara-Ohariu,577700
Homebush-Te Ore Ore,578301
Opaki-Fernridge,578302
Kopuaranga,578401
Whareama,578402
Masterton Central,578600
Masterton West,578700
Masterton East,578800
Solway North,578901
Solway South,578902
Ngaumutawa,579000
Masterton Railway,579100
Lansdowne,579200
Waingawa,579400
Mt Holdsworth,579501
Te Wharau,579502
Carterton,579700
Tuturumuri,579802
Kahutara,579803
Greytown,579900
Featherston,580000
Martinborough,580100
