origin area unit,destination area unit,distance (kilometers),time (hours)
Adelaide,Adelaide,0.0,0.0
Adelaide,Adventure,28.571,0.355
Adelaide,Akatarawa,42.695,0.493
Adelaide,Alicetown,16.677,0.207
Adelaide,Arakura,27.917,0.406
Adelaide,Aro Street-Nairn Street,2.534,0.052
Adelaide,Ascot Park,26.551,0.312
Adelaide,Avalon East,22.73,0.278
Adelaide,Avalon West,22.229,0.268
Adelaide,Awarua,10.157,0.185
Adelaide,Belmont,23.372,0.3
Adelaide,Berhampore East,2.214,0.045
Adelaide,Berhampore West,2.264,0.046
Adelaide,Boulcott,20.235,0.252
Adelaide,Brentwood,32.832,0.397
Adelaide,Brooklyn,3.297,0.069
Adelaide,Brooklyn South,3.966,0.086
Adelaide,Cannons Creek East,25.878,0.328
Adelaide,Cannons Creek North,24.856,0.308
Adelaide,Cannons Creek South,25.606,0.326
Adelaide,Carterton,86.495,0.98
Adelaide,Churton Park North,16.962,0.236
Adelaide,Churton Park South,13.86,0.2
Adelaide,Clouston Park,37.421,0.414
Adelaide,Cloustonville,48.24,0.572
Adelaide,Crofton Downs,9.632,0.177
Adelaide,Dannevirke East,194.967,2.193
Adelaide,Dannevirke West,195.682,2.207
Adelaide,Delaney,30.227,0.407
Adelaide,Discovery,29.774,0.358
Adelaide,Eastbourne,24.719,0.363
Adelaide,Ebdentown,35.951,0.399
Adelaide,Eketahuna,138.75,1.554
Adelaide,Elderslea,34.836,0.392
Adelaide,Elsdon-Takapuwahia,25.021,0.306
Adelaide,Emerald Hill,41.414,0.472
Adelaide,Endeavour,31.537,0.385
Adelaide,Epuni East,21.709,0.282
Adelaide,Epuni West,20.194,0.252
Adelaide,Esplanade,16.222,0.215
Adelaide,Featherston,65.707,0.713
Adelaide,Fernlea,25.416,0.358
Adelaide,Glendale,27.657,0.4
Adelaide,Glenside North,15.573,0.199
Adelaide,Gracefield,18.469,0.257
Adelaide,Greenacres,20.019,0.264
Adelaide,Grenada North,18.386,0.233
Adelaide,Grenada Village,15.95,0.209
Adelaide,Greytown,78.109,0.857
Adelaide,Happy Valley-Owhiro Bay,5.718,0.111
Adelaide,Hataitai North,2.886,0.058
Adelaide,Haywards-Manor Park,26.967,0.299
Adelaide,Heretaunga,30.684,0.355
Adelaide,Heretaunga-Silverstream,29.811,0.337
Adelaide,Holborn,28.734,0.377
Adelaide,Homebush-Te Ore Ore,106.287,1.279
Adelaide,Homedale East,27.37,0.401
Adelaide,Homedale West,28.142,0.413
Adelaide,Horokiwi,16.209,0.222
Adelaide,Hutt Central,19.318,0.234
Adelaide,Island Bay East,3.835,0.08
Adelaide,Island Bay West,4.107,0.083
Adelaide,Johnsonville Central,12.737,0.172
Adelaide,Johnsonville East,13.089,0.179
Adelaide,Johnsonville North,13.317,0.183
Adelaide,Kahutara,84.344,0.987
Adelaide,Kaitawa,70.642,0.934
Adelaide,Kaiwharawhara,6.55,0.114
Adelaide,Karaka Bay-Worser Bay,6.513,0.124
Adelaide,Karori East,7.109,0.142
Adelaide,Karori North,6.42,0.129
Adelaide,Karori Park,8.281,0.165
Adelaide,Karori South,8.599,0.178
Adelaide,Kelburn,4.101,0.089
Adelaide,Kelson,23.988,0.284
Adelaide,Khandallah Park-Broadmeadows,14.511,0.205
Adelaide,Kilbirnie East,3.206,0.066
Adelaide,Kilbirnie West-Hataitai South,2.277,0.047
Adelaide,Kingston-Mornington,3.077,0.065
Adelaide,Kopuaranga,115.711,1.314
Adelaide,Korokoro,16.502,0.216
Adelaide,Lambton,3.08,0.061
Adelaide,Lansdowne,103.165,1.221
Adelaide,Linden,20.733,0.268
Adelaide,Lyall Bay-Airport-Moa Point,4.856,0.096
Adelaide,Maidstone,37.216,0.424
Adelaide,Makara-Ohariu,13.77,0.265
Adelaide,Mana Island,28.19,0.368
Adelaide,Mana-Camborne,29.018,0.345
Adelaide,Mangaroa,40.316,0.455
Adelaide,Mangatainoka,170.308,1.979
Adelaide,Manuka,30.838,0.419
Adelaide,Maoribank,39.541,0.443
Adelaide,Mara,203.2,3.095
Adelaide,Martinborough,83.218,0.904
Adelaide,Masterton Central,101.215,1.182
Adelaide,Masterton East,101.761,1.193
Adelaide,Masterton Railway,100.784,1.165
Adelaide,Masterton West,100.798,1.165
Adelaide,Maungakotukutuku,56.619,0.77
Adelaide,Maungaraki,18.937,0.252
Adelaide,Maupuia,6.841,0.141
Adelaide,Melling,17.627,0.226
Adelaide,Melrose-Houghton Bay-Southgate,4.159,0.091
Adelaide,Miramar,5.157,0.097
Adelaide,Miramar North,6.126,0.114
Adelaide,Miramar South,4.83,0.09
Adelaide,Miramar West,5.005,0.097
Adelaide,Mitchelltown,3.791,0.078
Adelaide,Moera,18.224,0.255
Adelaide,Moonshine Valley,36.437,0.426
Adelaide,Mt Cook-Wallace Street,1.023,0.021
Adelaide,Mt Holdsworth,106.706,1.156
