origin (2013 area unit name),destination,distance (meters),time (minutes)
Adelaide,Adelaide,0,0.0
Adelaide,Adventure,27736,87.25
Adelaide,Akatarawa,45832,134.63333333333333
Adelaide,Alicetown,18103,44.93333333333333
Adelaide,Arakura,33482,81.81666666666666
Adelaide,Aro Street-Nairn Street,3241,31.7
Adelaide,Ascot Park,29477,83.68333333333334
Adelaide,Avalon East,23402,68.46666666666667
Adelaide,Avalon West,25869,73.21666666666667
Adelaide,Awarua,11481,56.85
Adelaide,Belmont,29120,119.11666666666666
Adelaide,Berhampore East,3092,19.816666666666666
Adelaide,Berhampore West,2934,18.2
Adelaide,Boulcott,23044,79.81666666666666
Adelaide,Brentwood,35545,94.46666666666667
Adelaide,Brooklyn,6640,39.5
Adelaide,Brooklyn South,3938,56.71666666666667
Adelaide,Cannons Creek East,26369,78.06666666666666
Adelaide,Cannons Creek North,25538,75.68333333333334
Adelaide,Cannons Creek South,26846,83.18333333333334
Adelaide,Carterton,82244,128.28333333333333
Adelaide,Churton Park North,26044,113.2
Adelaide,Churton Park South,16910,82.26666666666667
Adelaide,Clouston Park,39583,99.4
Adelaide,Cloustonville,51509,111.43333333333334
Adelaide,Crofton Downs,14726,71.95
Adelaide,Dannevirke East,180219,271.6333333333333
Adelaide,Dannevirke West,181194,284.48333333333335
Adelaide,Delaney,33162,88.26666666666667
Adelaide,Discovery,31527,88.13333333333334
Adelaide,Eastbourne,29823,79.8
Adelaide,Ebdentown,38558,99.63333333333334
Adelaide,Eketahuna,192805,272.23333333333335
Adelaide,Elderslea,37537,98.63333333333334
Adelaide,Elsdon-Takapuwahia,26631,100.3
Adelaide,Emerald Hill,45255,120.61666666666666
Adelaide,Endeavour,34893,203.61666666666667
Adelaide,Epuni East,24292,71.58333333333333
Adelaide,Epuni West,23213,78.51666666666667
Adelaide,Esplanade,17463,49.983333333333334
Adelaide,Featherston,62163,98.85
Adelaide,Fernlea,28313,94.76666666666667
Adelaide,Glendale,36250,89.36666666666666
Adelaide,Glenside North,22591,78.78333333333333
Adelaide,Gracefield,19931,95.91666666666667
Adelaide,Greenacres,20940,75.16666666666667
Adelaide,Grenada North,18805,82.35
Adelaide,Grenada Village,25358,110.08333333333333
Adelaide,Greytown,80086,122.58333333333333
Adelaide,Happy Valley-Owhiro Bay,5900,46.36666666666667
Adelaide,Hataitai North,4446,28.033333333333335
Adelaide,Haywards-Manor Park,30653,103.55
Adelaide,Heretaunga,34127,89.45
Adelaide,Heretaunga-Silverstream,31754,76.43333333333334
Adelaide,Holborn,29223,105.91666666666667
Adelaide,Homebush-Te Ore Ore,103339,286.93333333333334
Adelaide,Homedale East,29930,94.43333333333334
Adelaide,Homedale West,37106,87.33333333333333
Adelaide,Horokiwi,21841,115.13333333333334
Adelaide,Hutt Central,19893,51.983333333333334
Adelaide,Island Bay East,4847,27.9
Adelaide,Island Bay West,4827,27.733333333333334
Adelaide,Johnsonville Central,12042,54.95
Adelaide,Johnsonville East,13932,64.56666666666666
Adelaide,Johnsonville North,12525,62.56666666666667
Adelaide,Kahutara,82094,116.46666666666667
Adelaide,Kaitawa,70387,203.3
Adelaide,Kaiwharawhara,7254,20.5
Adelaide,Kapiti Island,,
Adelaide,Karaka Bay-Worser Bay,11139,55.18333333333333
Adelaide,Karori East,8805,46.11666666666667
Adelaide,Karori North,9322,34.75
Adelaide,Karori Park,10869,32.63333333333333
Adelaide,Karori South,12668,56.733333333333334
Adelaide,Kelburn,4400,37.583333333333336
Adelaide,Kelson,,
Adelaide,Khandallah Park-Broadmeadows,16980,97.65
Adelaide,Kilbirnie East,3948,14.466666666666667
Adelaide,Kilbirnie West-Hataitai South,3089,15.4
Adelaide,Kingston-Mornington,8245,34.86666666666667
Adelaide,Kopuaranga,,
Adelaide,Korokoro,17351,82.95
Adelaide,Lambton,3750,20.483333333333334
Adelaide,Lansdowne,98118,163.81666666666666
Adelaide,Linden,19877,58.7
