origin area unit,destination area unit,distance (kilometers),time (hours)
Adelaide,Adelaide,0.0,0.0
Adelaide,Adventure,28.146,5.629
Adelaide,Alicetown,17.112,3.422
Adelaide,Arakura,26.573,5.315
Adelaide,Aro Street-Nairn Street,3.688,0.738
Adelaide,Ascot Park,27.35,5.472
Adelaide,Avalon East,22.73,4.546
Adelaide,Avalon West,22.725,4.545
Adelaide,Awarua,9.604,1.921
Adelaide,Belmont,27.018,5.404
Adelaide,Berhampore East,2.383,0.477
Adelaide,Berhampore West,2.634,0.527
Adelaide,Boulcott,20.775,4.155
Adelaide,Brentwood,34.012,6.802
Adelaide,Brooklyn,4.222,0.844
Adelaide,Brooklyn South,4.507,0.901
Adelaide,Cannons Creek East,26.721,5.344
Adelaide,Cannons Creek North,25.859,5.172
Adelaide,Cannons Creek South,26.623,5.325
Adelaide,Carterton,124.502,24.9
Adelaide,Churton Park North,15.893,3.179
Adelaide,Churton Park South,13.737,2.747
Adelaide,Clouston Park,38.063,7.613
Adelaide,Crofton Downs,13.044,2.609
Adelaide,Dannevirke East,274.393,54.879
Adelaide,Dannevirke West,273.693,54.739
Adelaide,Delaney,30.158,6.032
Adelaide,Discovery,29.63,5.928
Adelaide,Eastbourne,24.541,4.908
Adelaide,Ebdentown,37.225,7.445
Adelaide,Eketahuna,199.666,39.933
Adelaide,Elderslea,35.905,7.181
Adelaide,Elsdon-Takapuwahia,27.342,5.468
Adelaide,Emerald Hill,44.332,8.866
Adelaide,Endeavour,31.542,6.31
Adelaide,Epuni East,21.607,4.321
Adelaide,Epuni West,20.633,4.127
Adelaide,Esplanade,16.498,3.3
Adelaide,Featherston,79.022,15.804
Adelaide,Fernlea,24.096,4.819
Adelaide,Glendale,26.562,5.312
Adelaide,Glenside North,15.321,3.064
Adelaide,Gracefield,18.68,3.736
Adelaide,Greenacres,20.576,4.115
Adelaide,Grenada North,19.622,3.924
Adelaide,Grenada Village,15.469,3.094
Adelaide,Greytown,100.445,20.089
Adelaide,Happy Valley-Owhiro Bay,5.417,1.083
Adelaide,Hataitai North,1.758,0.352
Adelaide,Heretaunga,31.864,6.373
Adelaide,Heretaunga-Silverstream,30.827,6.165
Adelaide,Holborn,29.14,5.828
Adelaide,Homedale East,25.966,5.193
Adelaide,Homedale West,26.687,5.337
Adelaide,Hutt Central,18.742,3.748
Adelaide,Island Bay East,4.2,0.84
Adelaide,Island Bay West,4.477,0.895
Adelaide,Johnsonville Central,12.218,2.444
Adelaide,Johnsonville East,12.732,2.546
Adelaide,Johnsonville North,12.96,2.592
Adelaide,Kahutara,96.776,19.355
Adelaide,Kaitawa,75.444,15.089
Adelaide,Kaiwharawhara,6.664,1.333
Adelaide,Karaka Bay-Worser Bay,6.412,1.282
Adelaide,Karori East,6.657,1.331
Adelaide,Karori North,6.853,1.371
Adelaide,Karori Park,8.712,1.742
Adelaide,Karori South,8.837,1.767
Adelaide,Kelburn,4.736,0.947
Adelaide,Kelson,26.398,5.28
Adelaide,Khandallah Park-Broadmeadows,10.208,2.042
Adelaide,Kilbirnie East,2.301,0.46
Adelaide,Kilbirnie West-Hataitai South,1.464,0.293
Adelaide,Kingston-Mornington,3.485,0.697
Adelaide,Korokoro,16.403,3.281
Adelaide,Lambton,3.455,0.691
Adelaide,Lansdowne,143.26,28.652
Adelaide,Linden,20.623,4.125
Adelaide,Lyall Bay-Airport-Moa Point,3.877,0.775
Adelaide,Maidstone,37.008,7.402
Adelaide,Makara-Ohariu,14.201,2.84
Adelaide,Mana-Camborne,39.23,7.848
Adelaide,Mangatainoka,210.445,42.089
Adelaide,Manuka,31.244,6.249
Adelaide,Maoribank,40.854,8.171
Adelaide,Martinborough,95.588,19.118
Adelaide,Masterton Central,143.846,28.769
Adelaide,Masterton East,140.837,28.167
Adelaide,Masterton Railway,144.157,28.831
Adelaide,Masterton West,144.213,28.843
Adelaide,Maungaraki,18.387,3.677
Adelaide,Maupuia,7.17,1.434
Adelaide,Melling,18.085,3.617
Adelaide,Melrose-Houghton Bay-Southgate,4.014,0.803
Adelaide,Miramar,5.169,1.034
Adelaide,Miramar North,6.243,1.249
Adelaide,Miramar South,4.247,0.849
Adelaide,Miramar West,5.576,1.115
Adelaide,Moera,18.498,3.7
Adelaide,Mt Cook-Wallace Street,2.014,0.403
Adelaide,Mt Holdsworth,138.748,27.75
Adelaide,Mt Victoria West,1.354,0.271
Adelaide,Naenae North,24.651,4.93
Adelaide,Naenae South,23.291,4.658
Adelaide,Newlands East,15.169,3.034
Adelaide,Newlands North,13.589,2.718
Adelaide,Newlands South,13.755,2.751
Adelaide,Newtown East,1.611,0.322
Adelaide,Newtown West,1.332,0.266
Adelaide,Ngaio South,8.394,1.679
Adelaide,Ngaumutawa,145.84,29.168
Adelaide,Ngauranga East,9.602,1.92
Adelaide,Ngauranga West,10.621,2.124
Adelaide,Normandale,19.891,3.978
Adelaide,Norsewood-Herbertville,278.838,55.768
Adelaide,Northland,5.794,1.159
Adelaide,Northland North,6.074,1.215
Adelaide,Onepoto,27.988,5.598
Adelaide,Opaki-Fernridge,146.581,29.316
Adelaide,Oriental Bay,2.568,0.514
Adelaide,Otaihanga,66.797,13.361
Adelaide,Owahanga,237.522,47.504
Adelaide,Paekakariki,52.739,10.549
Adelaide,Pahiatua,215.617,43.123
Adelaide,Papakowhai North,26.971,5.396
Adelaide,Papakowhai South,26.15,5.232
Adelaide,Paparangi,13.938,2.788
Adelaide,Paparangi West,13.532,2.706
Adelaide,Paraparaumu Beach North,64.846,12.971
Adelaide,Paraparaumu Beach South,62.83,12.568
Adelaide,Paraparaumu Central,62.715,12.545
Adelaide,Paremata-Postgate,28.914,5.784
Adelaide,Parkway,23.215,4.643
Adelaide,Petone Central,15.534,3.107
Adelaide,Pinehaven,33.105,6.621
Adelaide,Plimmerton,43.884,8.778
Adelaide,Poets Block,34.908,6.982
Adelaide,Porirua Central,23.242,4.648
Adelaide,Porirua East,24.479,4.896
Adelaide,Pukerua Bay,46.31,9.264
Adelaide,Rangoon Heights,10.634,2.127
Adelaide,Ranui Heights,25.104,5.021
Adelaide,Raroa,11.415,2.283
