2013 area unit name,WGS84 longitude of centroid of area unit,WGS84 latitude of centroid of area unit
Abbey Caves,174.35869,-35.70849
Abbotsford,170.42864,-45.89492
Abbotts Park,174.80869,-36.88719
Acacia Bay,176.01957,-38.70125
Addington,172.61998,-43.54413
Adelaide,174.78209,-41.30701
Adventure,174.89262,-41.13399
Ahaura,171.75804,-42.399
Ahipara,173.1489,-35.17323
Ahuriri,176.89783,-39.48278
Aidanfield,172.56731,-43.56444
Aiguilles Island,175.40525,-36.03373
Akarana,174.74032,-36.91282
Akaroa,172.96616,-43.80892
Akaroa Harbour,172.94584,-43.80935
Akatarawa,175.11788,-41.08158
Akina,176.84409,-39.65214
Albany,174.69653,-36.7222
Alexandra,169.38244,-45.24811
Algies Bay,174.75542,-36.44138
Alicetown,174.89165,-41.21627
Allandale-Mokorua,176.99356,-37.96502
Allen Road,175.36536,-38.04626
Allenton East,171.7512,-43.88828
Allenton West,171.73234,-43.89054
Amberley,172.73099,-43.15478
Ambury,174.76879,-36.94781
Amisfield,175.88055,-38.23521
Amuri,172.71955,-42.56714
Anderson Park,176.87083,-39.67058
Andersons Bay,170.53457,-45.89768
Aniseed Hill,173.15232,-41.38133
Aokautere,175.65022,-40.37599
Aongatete,175.89398,-37.61668
Aorangi,172.59531,-43.49968
Aorere,174.82735,-36.97472
Aotea,175.85502,-38.2393
Appleby-Kew,168.35381,-46.4334
Arahanga,174.79504,-36.95923
Arahiwi,176.04765,-38.113
Arakura,174.94281,-41.23551
Aramoana,170.66205,-45.78941
Aranui,172.70659,-43.51025
Arapuni,175.71142,-38.04912
Arataki,176.22111,-37.67471
Arch Hill,174.74717,-36.86531
Ardgowan,170.93766,-45.08107
Ardmore,174.97142,-37.03386
Armour Bay,174.61328,-36.97585
Army Bay,174.82549,-36.60563
Arnold Valley,171.45288,-42.52746
Aro Street-Nairn Street,174.76593,-41.29729
Arrowtown,168.83176,-44.94304
Arthurs Point,168.67278,-44.9894
Ascot Park,174.87343,-41.11992
Ashburton Central East,171.75044,-43.9067
Ashburton Central West,171.74254,-43.90063
Ashburton East,171.77153,-43.91511
Ashburton North,171.76199,-43.87595
Ashhurst,175.75442,-40.28769
Ashley,172.63365,-43.23898
Ashley Gorge,172.12144,-43.23082
Atarau,171.51949,-42.24063
Atawhai,173.32024,-41.25231
Athenree,175.95685,-37.44454
Atmore,173.31044,-41.2838
Auckland Central East,174.76854,-36.85094
Auckland Central West,174.75938,-36.85059
Auckland Harbourside,174.77097,-36.84402
Avalon East,174.94453,-41.19582
Avalon West,174.94109,-41.1909
Aviemore,170.04136,-44.54486
Avon Loop,172.64281,-43.52552
Avondale,172.69181,-43.50673
Avondale South,174.70081,-36.91462
Avondale West,174.68807,-36.89424
Avonhead,172.55639,-43.52054
Avonhead West,172.54302,-43.51911
Avonside,172.67087,-43.52115
Awanui,173.2564,-35.04525
Awapuni North,175.5887,-40.37027
Awapuni South,175.59343,-40.37784
Awapuni West,175.57602,-40.3828
Awarua,174.77053,-41.24496
Awaruku,174.73203,-36.69805
Awatoto,176.91571,-39.54427
Awhitu,174.63211,-37.1498
Bader,175.29318,-37.80997
Balclutha,169.73742,-46.239
