2013 area unit name,WGS84 longitude of a sample point in the area unit,WGS84 latitude of sample point
Glendhu,174.7116,-36.76518
Glendhu,174.69913,-36.77792
Glendhu,174.71644,-36.76956
Glendhu,174.71526,-36.76818
Glendhu,174.71648,-36.77215
Glendhu,174.71318,-36.77006
Glendhu,174.71687,-36.7696
Glendhu,174.70141,-36.77657
Glendhu,174.70746,-36.77134
Glendhu,174.70953,-36.77324
Glendhu,174.71528,-36.767
Glendhu,174.7049,-36.77388
Glendhu,174.71976,-36.77333
Glendhu,174.71712,-36.77273
Glendhu,174.71264,-36.76707
Glendhu,174.70717,-36.77701
Glendhu,174.71183,-36.76979
Glendhu,174.71254,-36.77337
Glendhu,174.70249,-36.77884
Glendhu,174.71937,-36.76892
Glendhu,174.711,-36.77457
Glendhu,174.70201,-36.77338
Glendhu,174.71237,-36.77516
Glendhu,174.71051,-36.77301
Glendhu,174.70665,-36.76927
Glendhu,174.71944,-36.76854
Glendhu,174.70949,-36.77439
Glendhu,174.70573,-36.76971
Glendhu,174.71729,-36.7738
Glendhu,174.72081,-36.76978
Glendhu,174.71571,-36.77329
Glendhu,174.70393,-36.77384
Glendhu,174.70421,-36.77428
Glendhu,174.7037,-36.77286
Glendhu,174.71246,-36.76756
Glendhu,174.70519,-36.76772
Glendhu,174.71606,-36.76734
Glendhu,174.70447,-36.77663
Glendhu,174.71082,-36.77118
Glendhu,174.7174,-36.77167
Glendhu,174.71977,-36.76788
Glendhu,174.71974,-36.77378
Glendhu,174.7088,-36.77165
Glendhu,174.71183,-36.76563
Glendhu,174.71111,-36.77282
Glendhu,174.70378,-36.77349
Glendhu,174.71067,-36.7664
Glendhu,174.70836,-36.77233
Glendhu,174.71349,-36.76956
Glendhu,174.71167,-36.77105
Glendhu,174.70506,-36.77454
Glendhu,174.71411,-36.77234
Glendhu,174.7104,-36.76994
Glendhu,174.71097,-36.77521
Glendhu,174.70899,-36.77507
Glendhu,174.70339,-36.77743
Glendhu,174.70697,-36.77283
Glendhu,174.71778,-36.7668
Glendhu,174.70312,-36.77529
Glendhu,174.71364,-36.77171
Glendhu,174.71118,-36.7719
Glendhu,174.70915,-36.7668
Glendhu,174.72102,-36.76961
Glendhu,174.71372,-36.77064
Glendhu,174.70777,-36.7754
Glendhu,174.70736,-36.77536
Glendhu,174.71665,-36.77412
Glendhu,174.71242,-36.77283
Glendhu,174.70969,-36.77729
Glendhu,174.70771,-36.77664
