2013 area unit name,WGS84 longitude of a sample point in the area unit,WGS84 latitude of sample point
Waiwhetu North,174.91251,-41.22254
Waiwhetu North,174.92717,-41.22246
Waiwhetu North,174.93491,-41.22615
Waiwhetu North,174.91595,-41.22105
Waiwhetu North,174.93073,-41.22469
Waiwhetu North,174.9157,-41.21925
Waiwhetu North,174.91442,-41.21997
Waiwhetu North,174.91577,-41.22057
Waiwhetu North,174.92875,-41.2258
Waiwhetu North,174.91626,-41.21988
Waiwhetu North,174.91999,-41.22195
Waiwhetu North,174.93174,-41.22572
Waiwhetu North,174.91367,-41.22023
Waiwhetu North,174.91589,-41.22112
Waiwhetu North,174.91933,-41.22366
Waiwhetu North,174.92232,-41.22344
Waiwhetu North,174.92492,-41.22303
Waiwhetu North,174.93056,-41.22502
Waiwhetu North,174.91467,-41.22133
Waiwhetu North,174.91902,-41.22282
Waiwhetu North,174.93586,-41.22422
Waiwhetu North,174.93065,-41.22599
Waiwhetu North,174.92691,-41.2227
Waiwhetu North,174.93629,-41.22574
Waiwhetu North,174.91786,-41.22242
Waiwhetu North,174.93585,-41.22569
Waiwhetu North,174.93224,-41.22327
Waiwhetu North,174.91415,-41.22311
Waiwhetu North,174.91503,-41.22166
Waiwhetu North,174.93813,-41.22375
Waiwhetu North,174.9355,-41.22656
Waiwhetu North,174.93376,-41.22671
Waiwhetu North,174.91548,-41.21894
Waiwhetu North,174.93127,-41.22298
Waiwhetu North,174.91747,-41.22057
Waiwhetu North,174.91905,-41.2225
Waiwhetu North,174.93411,-41.22402
Waiwhetu North,174.92448,-41.22415
Waiwhetu North,174.92395,-41.22529
Waiwhetu North,174.91519,-41.22245
Waiwhetu North,174.92066,-41.22236
Waiwhetu North,174.91433,-41.21957
Waiwhetu North,174.93096,-41.22449
Waiwhetu North,174.91404,-41.22296
Waiwhetu North,174.91337,-41.21972
Waiwhetu North,174.93549,-41.2268
Waiwhetu North,174.93297,-41.22553
Waiwhetu North,174.92297,-41.22481
Waiwhetu North,174.91776,-41.2201
Waiwhetu North,174.91819,-41.22271
Waiwhetu North,174.91473,-41.22145
Waiwhetu North,174.92416,-41.22216
Waiwhetu North,174.91398,-41.2217
Waiwhetu North,174.93262,-41.22368
Waiwhetu North,174.93102,-41.22511
Waiwhetu North,174.92943,-41.22473
Waiwhetu North,174.93358,-41.2253
Waiwhetu North,174.91887,-41.22145
Waiwhetu North,174.91994,-41.22466
Waiwhetu North,174.92527,-41.2246
Waiwhetu North,174.92496,-41.22305
Waiwhetu North,174.92432,-41.2245
Waiwhetu North,174.93503,-41.22709
Waiwhetu North,174.92718,-41.2234
Waiwhetu North,174.93339,-41.22581
Waiwhetu North,174.92131,-41.22274
Waiwhetu North,174.93564,-41.22581
Waiwhetu North,174.93149,-41.22706
Waiwhetu North,174.92406,-41.22519
Waiwhetu North,174.91258,-41.22012
Waiwhetu North,174.92977,-41.22558
Waiwhetu North,174.91952,-41.22127
Waiwhetu North,174.92857,-41.22476
Waiwhetu North,174.91767,-41.22418
Waiwhetu North,174.91669,-41.22189
Waiwhetu North,174.92046,-41.22285
Waiwhetu North,174.92042,-41.22259
Waiwhetu North,174.91193,-41.2205
Waiwhetu North,174.91865,-41.22442
Waiwhetu North,174.91691,-41.22368
Waiwhetu North,174.9161,-41.22241
Waiwhetu North,174.93193,-41.22457
Waiwhetu North,174.93316,-41.22444
Waiwhetu North,174.92689,-41.22547
Waiwhetu North,174.93293,-41.22373
Waiwhetu North,174.93048,-41.22512
Waiwhetu North,174.92405,-41.22274
Waiwhetu North,174.9346,-41.22535
Waiwhetu North,174.91519,-41.21927
Waiwhetu North,174.91441,-41.22316
Waiwhetu North,174.9181,-41.22175
Waiwhetu North,174.92666,-41.22363
Waiwhetu North,174.91054,-41.22154
Waiwhetu North,174.92341,-41.22452
Waiwhetu North,174.91529,-41.21991
Waiwhetu North,174.91507,-41.22361
Waiwhetu North,174.93309,-41.22388
Waiwhetu North,174.9179,-41.22056
Waiwhetu North,174.91693,-41.22
Waiwhetu North,174.93377,-41.22376
Ngauranga East,174.81481,-41.24291
Ngauranga East,174.80768,-41.23933
Ngauranga East,174.82536,-41.23965
Ngauranga East,174.81361,-41.24003
Ngauranga East,174.80788,-41.23906
Ngauranga East,174.82266,-41.24236
Ngauranga East,174.82132,-41.24152
Ngauranga East,174.80755,-41.23422
Ngauranga East,174.82294,-41.24231
Ngauranga East,174.8172,-41.24561
Ngauranga East,174.80635,-41.23731
Ngauranga East,174.81983,-41.24205
Ngauranga East,174.81672,-41.24472
Ngauranga East,174.81779,-41.24428
Ngauranga East,174.82427,-41.23796
Ngauranga East,174.81388,-41.24049
Ngauranga East,174.824,-41.23787
Ngauranga East,174.82076,-41.23907
Ngauranga East,174.81586,-41.23715
Ngauranga East,174.82669,-41.23975
Ngauranga East,174.81842,-41.23808
Ngauranga East,174.81478,-41.24267
Ngauranga East,174.81575,-41.24642
Ngauranga East,174.81665,-41.24106
Ngauranga East,174.82151,-41.23872
Ngauranga East,174.81716,-41.23839
Ngauranga East,174.8156,-41.24143
Ngauranga East,174.82099,-41.23531
Ngauranga East,174.82603,-41.23983
Ngauranga East,174.81457,-41.24006
Ngauranga East,174.81319,-41.23893
Ngauranga East,174.80658,-41.23539
Ngauranga East,174.82202,-41.24272
Ngauranga East,174.80674,-41.23503
Ngauranga East,174.81498,-41.24358
Ngauranga East,174.81319,-41.24897
Ngauranga East,174.8201,-41.23743
Ngauranga East,174.81723,-41.2458
Ngauranga East,174.8202,-41.23471
Ngauranga East,174.81068,-41.23944
Ngauranga East,174.82107,-41.23647
Ngauranga East,174.82013,-41.23957
Ngauranga East,174.81776,-41.24055
Ngauranga East,174.82276,-41.24253
Ngauranga East,174.81991,-41.24106
Ngauranga East,174.82422,-41.24162
Ngauranga East,174.81917,-41.24341
Ngauranga East,174.8139,-41.24435
Ngauranga East,174.82581,-41.23943
Ngauranga East,174.82078,-41.24046
Ngauranga East,174.82271,-41.23943
Ngauranga East,174.81995,-41.24265
Ngauranga East,174.80764,-41.23924
Ngauranga East,174.81716,-41.24511
Ngauranga East,174.81564,-41.24596
Ngauranga East,174.81624,-41.24656
Ngauranga East,174.81644,-41.24594
Ngauranga East,174.82315,-41.23992
Ngauranga East,174.82411,-41.24129
Ngauranga East,174.80808,-41.23748
Ngauranga East,174.81669,-41.24271
Ngauranga East,174.82342,-41.24199
Ngauranga East,174.81992,-41.23645
Ngauranga East,174.81778,-41.23813
Ngauranga East,174.82185,-41.23736
Ngauranga East,174.81973,-41.23846
Ngauranga East,174.813,-41.24084
Ngauranga East,174.81616,-41.24262
Ngauranga East,174.80946,-41.24048
Ngauranga East,174.82131,-41.24058
Ngauranga East,174.82215,-41.24091
Ngauranga East,174.80708,-41.23885
Ngauranga East,174.81477,-41.24744
Ngauranga East,174.81897,-41.23945
Ngauranga East,174.82191,-41.23864
Ngauranga East,174.82117,-41.24282
Ngauranga East,174.82255,-41.24053
Ngauranga East,174.81383,-41.24453
Ngauranga East,174.8183,-41.24265
Ngauranga East,174.8184,-41.23921
Ngauranga East,174.82309,-41.23795
Ngauranga East,174.82078,-41.24318
Ngauranga East,174.81297,-41.24906
Ngauranga East,174.81917,-41.23849
Ngauranga East,174.81773,-41.23996
Ngauranga East,174.82274,-41.24054
Ngauranga East,174.81617,-41.23823
Ngauranga East,174.81836,-41.24216
Ngauranga East,174.81912,-41.23834
Ngauranga East,174.81913,-41.24292
Ngauranga East,174.82259,-41.24127
Ngauranga East,174.8236,-41.23747
Ngauranga East,174.80666,-41.23492
Ngauranga East,174.81623,-41.24272
Ngauranga East,174.82059,-41.23679
Ngauranga East,174.81937,-41.24344
Ngauranga East,174.81706,-41.24155
Ngauranga East,174.80851,-41.23935
Ngauranga East,174.8106,-41.23972
Ngauranga East,174.81871,-41.24476
Mitchelltown,174.75065,-41.29862
Mitchelltown,174.75286,-41.29786
Mitchelltown,174.75493,-41.29408
Mitchelltown,174.75767,-41.2987
Mitchelltown,174.75388,-41.29331
Mitchelltown,174.75718,-41.2956
Mitchelltown,174.75088,-41.29907
Mitchelltown,174.75745,-41.29696
Mitchelltown,174.75809,-41.29567
Mitchelltown,174.75939,-41.29751
Mitchelltown,174.75134,-41.2995
Mitchelltown,174.75934,-41.29611
Mitchelltown,174.75991,-41.29493
Mitchelltown,174.76038,-41.29398
Mitchelltown,174.75576,-41.29506
Mitchelltown,174.75304,-41.29477
Mitchelltown,174.75521,-41.29524
Mitchelltown,174.75765,-41.29541
Mitchelltown,174.76003,-41.29472
Mitchelltown,174.75119,-41.29958
Mitchelltown,174.75209,-41.30037
Mitchelltown,174.75464,-41.29612
Mitchelltown,174.75717,-41.2984
Mitchelltown,174.75631,-41.29591
Mitchelltown,174.7506,-41.29844
Mitchelltown,174.75628,-41.29619
Mitchelltown,174.75922,-41.29511
Mitchelltown,174.75756,-41.29641
Mitchelltown,174.75902,-41.29681
Mitchelltown,174.75656,-41.29545
Mitchelltown,174.75415,-41.2946
Mitchelltown,174.75459,-41.29459
Mitchelltown,174.75427,-41.29474
Mitchelltown,174.75318,-41.29545
Mitchelltown,174.76055,-41.29465
Mitchelltown,174.75462,-41.29271
Mitchelltown,174.75368,-41.29565
Mitchelltown,174.76014,-41.29663
Mitchelltown,174.75221,-41.29567
Mitchelltown,174.75587,-41.2941
Mitchelltown,174.75542,-41.29819
Mitchelltown,174.75446,-41.29596
Mitchelltown,174.7612,-41.2941
Mitchelltown,174.75937,-41.2939
Mitchelltown,174.75058,-41.29937
Mitchelltown,174.7557,-41.29446
Mitchelltown,174.75897,-41.29852
Mitchelltown,174.75685,-41.29708
Mitchelltown,174.75554,-41.29507
Mitchelltown,174.75846,-41.29705
Mitchelltown,174.76005,-41.29531
Mitchelltown,174.75511,-41.29817
Mitchelltown,174.75441,-41.29413
Mitchelltown,174.75319,-41.29778
Mitchelltown,174.75632,-41.29821
Mitchelltown,174.75109,-41.30067
Mitchelltown,174.75783,-41.29567
Mitchelltown,174.76042,-41.29497
Mitchelltown,174.75346,-41.2952
Mitchelltown,174.7566,-41.29699
Mitchelltown,174.75536,-41.29474
Mitchelltown,174.75906,-41.29532
Mitchelltown,174.75366,-41.29429
Mitchelltown,174.75865,-41.29495
Mitchelltown,174.75468,-41.29289
Mitchelltown,174.75995,-41.29402
Mitchelltown,174.74998,-41.29865
Mitchelltown,174.75199,-41.30126
Mitchelltown,174.75552,-41.29527
Mitchelltown,174.7594,-41.29455
Mitchelltown,174.75253,-41.29848
Mitchelltown,174.75524,-41.29307
Mitchelltown,174.75113,-41.30043
Mitchelltown,174.75951,-41.29638
Mitchelltown,174.75987,-41.29498
Mitchelltown,174.75608,-41.29755
Mitchelltown,174.75707,-41.29682
Mitchelltown,174.7536,-41.29766
Mitchelltown,174.75467,-41.2949
Mitchelltown,174.75221,-41.29659
Mitchelltown,174.75604,-41.29848
Mitchelltown,174.75838,-41.29593
Mitchelltown,174.75576,-41.2978
Mitchelltown,174.75681,-41.29629
Mitchelltown,174.75857,-41.29513
Mitchelltown,174.75451,-41.29515
Mitchelltown,174.75304,-41.29713
Mitchelltown,174.75559,-41.29325
Mitchelltown,174.76119,-41.29443
Mitchelltown,174.75349,-41.29585
Mitchelltown,174.75298,-41.29695
Mitchelltown,174.75072,-41.29932
Mitchelltown,174.7573,-41.29698
Mitchelltown,174.75991,-41.29373
Mitchelltown,174.75369,-41.297
Mitchelltown,174.75248,-41.29673
Mitchelltown,174.75212,-41.29923
Mitchelltown,174.75964,-41.29624
Mitchelltown,174.75204,-41.30134
Mitchelltown,174.75722,-41.297
Johnsonville Central,174.79399,-41.21625
Johnsonville Central,174.80323,-41.22118
Johnsonville Central,174.80375,-41.22357
Johnsonville Central,174.79339,-41.21528
Johnsonville Central,174.80619,-41.22751
Johnsonville Central,174.79423,-41.21803
Johnsonville Central,174.7986,-41.22321
Johnsonville Central,174.80558,-41.22295
Johnsonville Central,174.80617,-41.22259
Johnsonville Central,174.80483,-41.22203
Johnsonville Central,174.80825,-41.2236
Johnsonville Central,174.79563,-41.21725
Johnsonville Central,174.80161,-41.22629
Johnsonville Central,174.8011,-41.22262
Johnsonville Central,174.79839,-41.21934
Johnsonville Central,174.79928,-41.22352
Johnsonville Central,174.80379,-41.22962
Johnsonville Central,174.80589,-41.22377
Johnsonville Central,174.80019,-41.2201
Johnsonville Central,174.80573,-41.22069
Johnsonville Central,174.8042,-41.22427
Johnsonville Central,174.80186,-41.2244
Johnsonville Central,174.8038,-41.22848
Johnsonville Central,174.79831,-41.22223
Johnsonville Central,174.79772,-41.22326
Johnsonville Central,174.79502,-41.22019
Johnsonville Central,174.8052,-41.22721
Johnsonville Central,174.80671,-41.22456
Johnsonville Central,174.80052,-41.22497
Johnsonville Central,174.80556,-41.22855
Johnsonville Central,174.79758,-41.22335
Johnsonville Central,174.80324,-41.22163
Johnsonville Central,174.80629,-41.22788
Johnsonville Central,174.79668,-41.21809
Johnsonville Central,174.7942,-41.21567
Johnsonville Central,174.79769,-41.22295
Johnsonville Central,174.79799,-41.21695
Johnsonville Central,174.79606,-41.21683
Johnsonville Central,174.79658,-41.21868
Johnsonville Central,174.80353,-41.22924
Johnsonville Central,174.79818,-41.21922
Johnsonville Central,174.80324,-41.22451
Johnsonville Central,174.79454,-41.2197
Johnsonville Central,174.80362,-41.22454
Johnsonville Central,174.807,-41.22193
Johnsonville Central,174.80586,-41.22131
Johnsonville Central,174.80356,-41.22709
Johnsonville Central,174.80539,-41.22004
Johnsonville Central,174.80279,-41.22658
Johnsonville Central,174.79893,-41.21805
Johnsonville Central,174.80446,-41.22815
Johnsonville Central,174.79629,-41.22151
Johnsonville Central,174.79628,-41.21632
Johnsonville Central,174.79288,-41.21687
Johnsonville Central,174.80073,-41.22049
Johnsonville Central,174.8058,-41.2207
Johnsonville Central,174.80526,-41.22081
Johnsonville Central,174.7938,-41.21806
Johnsonville Central,174.79922,-41.22358
Johnsonville Central,174.79282,-41.21557
Johnsonville Central,174.80616,-41.22346
Johnsonville Central,174.80823,-41.22295
Johnsonville Central,174.8008,-41.22369
Johnsonville Central,174.79733,-41.22314
Johnsonville Central,174.80173,-41.21946
Johnsonville Central,174.80133,-41.22217
Johnsonville Central,174.80345,-41.22861
Johnsonville Central,174.79755,-41.22328
Johnsonville Central,174.80094,-41.21907
Johnsonville Central,174.80054,-41.22
Johnsonville Central,174.80724,-41.22204
Johnsonville Central,174.79303,-41.2153
Johnsonville Central,174.80144,-41.22422
Johnsonville Central,174.80545,-41.22459
Johnsonville Central,174.79487,-41.21693
Johnsonville Central,174.80119,-41.22349
Johnsonville Central,174.80461,-41.22199
Johnsonville Central,174.80631,-41.2205
Johnsonville Central,174.80248,-41.22233
Johnsonville Central,174.80403,-41.22095
Johnsonville Central,174.7947,-41.21815
Johnsonville Central,174.79953,-41.22183
Johnsonville Central,174.79652,-41.21721
Johnsonville Central,174.80843,-41.22382
Johnsonville Central,174.80707,-41.2242
Johnsonville Central,174.80292,-41.22624
Johnsonville Central,174.80606,-41.22089
Johnsonville Central,174.80315,-41.22882
Johnsonville Central,174.80515,-41.22104
Johnsonville Central,174.80343,-41.22102
Johnsonville Central,174.79198,-41.21743
Johnsonville Central,174.79859,-41.22278
Johnsonville Central,174.80157,-41.21914
Johnsonville Central,174.80333,-41.22414
Johnsonville Central,174.80327,-41.22628
Johnsonville Central,174.79762,-41.22147
Johnsonville Central,174.80446,-41.22445
Johnsonville Central,174.80624,-41.22252
Johnsonville Central,174.79587,-41.21689
Johnsonville Central,174.79672,-41.22399
Tawhai,175.00632,-41.17584
Tawhai,174.98439,-41.16139
Tawhai,175.00717,-41.18362
Tawhai,175.0131,-41.17962
Tawhai,175.01131,-41.18137
Tawhai,174.99799,-41.16382
Tawhai,175.00816,-41.17977
Tawhai,174.99408,-41.17394
Tawhai,174.99524,-41.17072
Tawhai,174.99554,-41.17381
Tawhai,174.99213,-41.16216
Tawhai,174.98442,-41.17179
Tawhai,174.98635,-41.1546
Tawhai,174.99827,-41.17024
Tawhai,175.00277,-41.17792
Tawhai,174.99939,-41.17009
Tawhai,174.99358,-41.15329
Tawhai,174.99418,-41.16815
Tawhai,175.00322,-41.17899
Tawhai,174.99691,-41.17058
Tawhai,174.98778,-41.16306
Tawhai,174.99643,-41.16663
Tawhai,174.99171,-41.17982
Tawhai,174.9931,-41.1845
Tawhai,175.0021,-41.16123
Tawhai,174.99219,-41.18073
Tawhai,174.99061,-41.17324
Tawhai,174.99268,-41.16989
Tawhai,175.0,-41.18383
Tawhai,175.00195,-41.17281
Tawhai,174.98482,-41.16889
Tawhai,174.99927,-41.16798
Tawhai,174.98943,-41.16749
Tawhai,174.99433,-41.16934
Tawhai,174.99562,-41.16846
Tawhai,174.98965,-41.16
Tawhai,174.99932,-41.17404
Tawhai,174.99478,-41.15493
Tawhai,174.99106,-41.17322
Tawhai,174.9951,-41.16873
Tawhai,174.99165,-41.17495
Tawhai,174.98293,-41.15965
Tawhai,174.99398,-41.17213
Tawhai,174.99707,-41.16837
Tawhai,175.01709,-41.18113
Tawhai,174.99998,-41.18309
Tawhai,174.9894,-41.17375
Tawhai,175.00974,-41.17805
Tawhai,175.01256,-41.17961
Tawhai,174.99905,-41.17896
Tawhai,174.99602,-41.16452
Tawhai,175.00044,-41.18657
Tawhai,174.99501,-41.16803
Tawhai,174.99016,-41.18041
Tawhai,174.99328,-41.1834
Tawhai,174.99596,-41.17547
Tawhai,174.99975,-41.17046
Tawhai,175.00602,-41.17969
Tawhai,175.00833,-41.18376
Tawhai,174.98793,-41.16613
Tawhai,175.00005,-41.16865
Tawhai,174.99878,-41.15795
Tawhai,175.00373,-41.1723
Tawhai,174.99202,-41.15719
Tawhai,175.01476,-41.18031
Tawhai,174.99183,-41.16241
Tawhai,174.99602,-41.17454
Tawhai,174.99694,-41.16128
Tawhai,174.99666,-41.15932
Tawhai,174.98745,-41.1761
Tawhai,174.98831,-41.15583
Tawhai,174.99658,-41.18214
Tawhai,174.99915,-41.17514
Tawhai,174.99324,-41.17067
Tawhai,174.98739,-41.17059
Tawhai,174.99233,-41.17453
Tawhai,175.00915,-41.18132
Tawhai,174.99039,-41.16144
Tawhai,174.99738,-41.17683
Tawhai,175.00347,-41.17464
Tawhai,174.99323,-41.17465
Tawhai,174.99793,-41.16278
Tawhai,174.98884,-41.16367
Tawhai,174.98547,-41.15914
Tawhai,175.00001,-41.17895
Tawhai,174.99955,-41.18249
Tawhai,175.00108,-41.16175
Tawhai,174.99206,-41.15254
Tawhai,174.99948,-41.16275
Tawhai,174.99446,-41.173
Tawhai,174.9999,-41.1624
Tawhai,174.99295,-41.1818
Tawhai,174.99527,-41.16266
Tawhai,174.99919,-41.17367
Tawhai,174.99265,-41.1695
Tawhai,174.99148,-41.17218
Tawhai,174.99258,-41.16636
Tawhai,174.9971,-41.1598
Tawhai,174.99787,-41.17507
Tawhai,175.0139,-41.1792
Haywards-Manor Park,174.97358,-41.14277
Haywards-Manor Park,174.97642,-41.16038
Haywards-Manor Park,174.97273,-41.16017
Haywards-Manor Park,174.97996,-41.15936
Haywards-Manor Park,174.98269,-41.1432
Haywards-Manor Park,174.97102,-41.15543
Haywards-Manor Park,174.96754,-41.15845
Haywards-Manor Park,174.96562,-41.14716
Haywards-Manor Park,174.96309,-41.14943
Haywards-Manor Park,174.9856,-41.14636
Haywards-Manor Park,174.95151,-41.14565
Haywards-Manor Park,174.97342,-41.15571
Haywards-Manor Park,174.96069,-41.1501
Haywards-Manor Park,174.97775,-41.14054
Haywards-Manor Park,174.97692,-41.13677
Haywards-Manor Park,174.97927,-41.15647
Haywards-Manor Park,174.98709,-41.14908
Haywards-Manor Park,174.96984,-41.1527
Haywards-Manor Park,174.96759,-41.15287
Haywards-Manor Park,174.97876,-41.16002
Haywards-Manor Park,174.96476,-41.15015
Haywards-Manor Park,174.98743,-41.14364
Haywards-Manor Park,174.97323,-41.14831
Haywards-Manor Park,174.96981,-41.14426
Haywards-Manor Park,174.99487,-41.14578
Haywards-Manor Park,174.97634,-41.1369
Haywards-Manor Park,174.97413,-41.15312
Haywards-Manor Park,174.96766,-41.152
Haywards-Manor Park,174.9726,-41.14657
Haywards-Manor Park,174.97737,-41.14698
Haywards-Manor Park,174.97358,-41.14868
Haywards-Manor Park,174.99497,-41.14711
Haywards-Manor Park,174.98684,-41.15102
Haywards-Manor Park,174.9741,-41.14904
Haywards-Manor Park,174.95376,-41.14743
Haywards-Manor Park,174.96856,-41.15358
Haywards-Manor Park,174.98348,-41.14846
Haywards-Manor Park,174.96875,-41.14857
Haywards-Manor Park,174.97423,-41.14267
Haywards-Manor Park,174.96756,-41.14701
Haywards-Manor Park,174.97967,-41.1479
Haywards-Manor Park,174.97768,-41.1398
Haywards-Manor Park,174.96978,-41.15826
Haywards-Manor Park,174.98124,-41.15008
Haywards-Manor Park,174.97221,-41.15624
Haywards-Manor Park,174.9752,-41.13437
Haywards-Manor Park,174.99163,-41.14739
Haywards-Manor Park,174.9801,-41.15205
