2013 area unit name,WGS84 longitude of centroid of area unit,WGS84 latitude of centroid of area unit,fare zone
Abbotts Park,174.80869,-36.88719,A
Akarana,174.74032,-36.91282,A
Albany,174.69653,-36.7222,B
Algies Bay,174.75542,-36.44138,C
Ambury,174.76879,-36.94781,B
Aorere,174.82735,-36.97472,B
Arahanga,174.79504,-36.95923,B
Arch Hill,174.74717,-36.86531,A
Ardmore,174.97142,-37.03386,C
Armour Bay,174.61328,-36.97585,C
Army Bay,174.82549,-36.60563,B
Auckland Central East,174.76854,-36.85094,A
Auckland Central West,174.75938,-36.85059,A
Auckland Harbourside,174.77097,-36.84402,A
Avondale South,174.70081,-36.91462,A
Avondale West,174.68807,-36.89424,A
Awaruku,174.73203,-36.69805,B
Awhitu,174.63211,-37.1498,C
Balmoral,174.7508,-36.88194,A
Baverstock Oaks,174.91518,-36.95452,B
Bayswater,174.77811,-36.81391,B
Beachhaven North,174.68939,-36.79104,B
Beachhaven South,174.69329,-36.80509,B
Beachlands-Maraetai,175.01786,-36.89128,C
Beaumont,174.90105,-37.03088,B
Birdwood East,174.60283,-36.84776,B
Birdwood West,174.58568,-36.85025,B
Birkdale North,174.70051,-36.79209,B
Birkdale South,174.70464,-36.80095,B
Birkenhead East,174.73124,-36.81394,B
Bleakhouse,174.92418,-36.88384,B
Bledisloe Park,174.91533,-37.21569,C
Blockhouse Bay,174.70191,-36.92396,A
Bombay,174.98344,-37.19104,C
Bremner,174.92978,-37.11116,C
Browns Bay,174.74005,-36.71373,B
Buckland,174.92626,-37.22737,C
Bucklands Beach South,174.90627,-36.88105,B
Bucklands and Eastern Beaches,174.90828,-36.86814,B
Burbank,174.86798,-37.02139,B
Burswood,174.89762,-36.92368,B
Campbells Bay,174.75589,-36.74966,B
Cape Rodney,174.5854,-36.26203,C
Cape Rodney South,174.70278,-36.34645,C
Castor Bay,174.76232,-36.75799,B
Chelsea,174.71129,-36.81806,B
Clendon North,174.86004,-37.0244,B
Clendon South,174.86184,-37.03232,B
Clevedon,175.06727,-36.99268,C
Clover Park,174.89309,-36.97953,B
Cockle Bay,174.94336,-36.90033,B
Crown Hill,174.75697,-36.76414,B
Crum Park,174.66591,-36.9283,B
Dairy Flat-Redvale,174.67491,-36.68238,B
