2013 area unit code,2013 area unit name
514102,Auckland Central West
514103,Auckland Central East
525910,Pukekohe North
505805,Orewa
509100,Greenhithe
520801,Waiheke Island
525102,Wattle Farm
518701,Hillsborough West
524200,Mangere South
511100,Glen Eden East
513220,Sturges North
525921,Pukekohe West
523300,Beachlands-Maraetai
523115,Baverstock Oaks
523712,Donegal Park
508520,Sunnynook
508420,Target Road
516301,Meadowbank North
505902,Manly
520201,Ellerslie North
523820,Redoubt South
514500,New Windsor
521602,Howick Central
514402,Glenavon
512500,Mcleod
521122,Kingseat
513530,Royal Heights
524720,Homai East
514700,Blockhouse Bay
524303,Kohuora
516900,Glen Innes North
525610,Papakura East
523814,Totara Heights
524301,Mangere East
524002,Mangere Bridge
522100,Papatoetoe West
510700,Henderson North
508020,Hauraki
519400,One Tree Hill East
513631,Waimumu North
508510,Forrest Hill
518901,Lynfield North
522201,Papatoetoe North
517800,Mt Albert Central
518600,Royal Oak
520500,Mt Wellington South
518803,Akarana
522302,Papatoetoe East
508411,Glendhu
516400,Orakei North
516500,Mission Bay
514600,Avondale South
518201,Balmoral
510010,Beachhaven North
507200,Rothesay Bay
518500,Three Kings
524302,Aorere
508803,Unsworth Heights
507400,Mairangi Bay
509400,Mt Victoria
525101,Leabank
514401,Roberton
523114,Point View
520402,Hamlin
507900,Westlake
513522,Lucken Point
524901,Hillpark
508806,North Harbour West
507800,Lake Pupuke
523000,Pakuranga East
516302,Meadowbank South
523713,Ormiston
515100,Westmere
522601,Bucklands and Eastern Beaches
524530,Harania East
524812,Weymouth East
523101,Howick South
523106,Millhouse
524822,Clendon South
513521,West Harbour
521901,Otahuhu West
512300,Te Atatu Central
506903,Torbay
524520,Harania West
508610,Monarch Park
523722,Redoubt North
514802,Avondale West
517702,Sandringham West
518302,Mt Eden South
516700,St Heliers
508310,Glenfield Central
522202,Papatoetoe Central
515902,Parnell West
519200,Mt St John
521502,Cockle Bay
513302,Fairdene
507300,Murrays Bay
510020,Beachhaven South
517600,St Lukes
510800,Henderson South
517500,Kingsland
523920,Takanini West
523113,Greenmount
507102,Oaktree
511002,Woodglen
520401,Ferndale
523912,Takanini South
506613,Tauhoa-Puhoi
508210,Kaipatiki
519002,Waikowhai East
514801,Rosebank
512202,Durham Green
515002,Point Chevalier East
508704,Northcross
514101,Auckland Harbourside
509701,Ocean View
520601,Tamaki
522400,Puhinui North
511401,Fruitvale
511700,Kelston Central
525001,Manurewa Central
523711,Rongomai
517001,Glen Innes West
511601,Glendene North
522810,Pakuranga North
523502,Otara East
509702,Tuff Crater
511402,Rewarewa
522920,Edgewater
507000,Waiake
523102,Meadowland
516003,Abbotts Park
508320,Glenfield North
516800,Glendowie
517100,Point England
517903,Owairaka East
518702,Hillsborough East
509800,Northcote South
516202,Waiata
507101,Browns Bay
521132,Hunua
518902,Lynfield South
525630,Papakura North East
522722,Highland Park
524811,Weymouth West
523721,Clover Park
510220,Birkdale South
510500,Birkenhead East
512100,Green Bay
519900,Oranga
523602,Ferguson
522712,Murvale
513632,Waimumu South
524122,Viscount
505904,Army Bay
511800,Sunnyvale
524602,Wiri
508804,Pinehill
516102,Waitaramoa
518301,Maungawhau
518801,Walmsley
505500,Warkworth
516002,Remuera South
511902,Crum Park
