name,WGS84 longitude,WGS84 latitude
Glendhu,174.71035336258504,-36.772063826285304
Avondale South,174.70080190644256,-36.91460030369608
Birkdale North,174.7004856266904,-36.79211326487529
Auckland Harbourside,174.7710159916443,-36.84402787468164
Riverhead Urban,174.59453871766038,-36.75462383336182
Rakitu Island,175.49762879541447,-36.12643868503352
Red Beach West,174.69171821574744,-36.60719138560641
Grey Lynn West,174.73629968900326,-36.85880031719531
Little Barrier Island,175.08290755053682,-36.20122338605409
Red Beach East,174.70504952191666,-36.606031513962996
Mangere Bridge,174.7871962007365,-36.948195134280105
Swanson,174.580498243879,-36.86414114912234
Mt Victoria,174.80127421796735,-36.82635334156179
Penrose,174.81580826246588,-36.91897173303551
Mission Bay,174.83439598379098,-36.85789985728558
Glendene North,174.65219563065313,-36.88894338329441
Kaukapakapa Rural,174.48954883643827,-36.61733907083657
Sunnyhills,174.87611410539697,-36.90592332429336
Eden Road-Hill Top,174.8740837570661,-37.20721750150518
Harania North,174.81024544579185,-36.96172979163455
Castor Bay,174.76226530256844,-36.75797624898938
Lake Pupuke,174.7651375155149,-36.77193797601798
Silverdale North,174.6601633383393,-36.58858828860345
Beaumont,174.9010378741593,-37.03086175899052
Pakuranga Central,174.8783996603539,-36.91549672893154
Point England,174.86535846136448,-36.883869044971846
Northcote South,174.74291945626467,-36.81357751050369
Parakai Urban,174.4346529276644,-36.65640141744115
South Waiuku,174.73972563429328,-37.25998194101143
Sunnynook,174.74082139680013,-36.754069104047275
Rewarewa,174.68286330392598,-36.92031829270735
Wymondley,174.85738814998373,-36.954067320173785
Takanini North,174.9293500629512,-37.031536350343494
Glenavon,174.7000512838316,-36.905656718524575
Pukekohe West,174.89187457712086,-37.210917797509204
Windy Ridge,174.71622475760748,-36.79591921244206
Oranga,174.7988971925553,-36.91144004386413
Kohimarama East,174.84906817385308,-36.86021560698451
Drury,174.99004577055803,-37.0881194893434
Orewa West,174.6760864348177,-36.57576774180615
Donegal Park,174.90965859005146,-36.97877902459077
Redoubt East,174.9430080147737,-36.99211120385092
Tauhoa-Puhoi,174.50711282095583,-36.4346447250943
Parnell West,174.7800175782597,-36.85570565946035
Ferguson,174.8825349371418,-36.96616949225192
Henderson South,174.6298844276095,-36.88658268886035
Crown Hill,174.75694733006918,-36.76412881827956
Bayswater,174.77814050212814,-36.813873108559534
Stillwater,174.71614446223916,-36.63819204511824
Panmure Basin,174.852730773048,-36.9042150916064
Eden Terrace,174.75609359309723,-36.86581426382442
Onehunga South West,174.77506271692954,-36.922035349348185
Burswood,174.89754089904906,-36.92367686754567
Burbank,174.86797678522424,-37.02138616640433
Herald,174.6398439087701,-36.779504168965865
Sunnyvale,174.64255618260594,-36.89955825179287
Meadowbank North,174.8289337168959,-36.871117144844625
Rosebank,174.67575645184527,-36.87922913566232
Puhinui South,174.87009952785573,-36.98746028827501
Rothesay Bay,174.7425556014204,-36.72416296236363
Waiheke Island,175.10361703892534,-36.79592403604037
Hillpark,174.8994178202096,-37.015116793054055
Kawakawa-Orere,175.20587850467484,-36.986042959210835
Mahurangi,174.7432778558346,-36.461715806364424
Kingdale,174.63046520684526,-36.85486364815531
Wiri,174.88300380354022,-37.00363219800053
Waimumu South,174.61640591917862,-36.8495958639759
