2013 area unit name,WGS84 longitude of a sample point in the area unit,WGS84 latitude of sample point
Glendhu,174.70863,-36.77814
Glendhu,174.71742,-36.76735
Glendhu,174.70323,-36.77098
Glendhu,174.70148,-36.77603
Glendhu,174.70928,-36.76833
Glendhu,174.70298,-36.77886
Glendhu,174.71564,-36.77143
Glendhu,174.70468,-36.77835
Glendhu,174.72064,-36.7689
Glendhu,174.70732,-36.77382
Glendhu,174.71503,-36.77355
Glendhu,174.71183,-36.77407
Glendhu,174.70051,-36.7754
Glendhu,174.70681,-36.77289
Glendhu,174.71942,-36.77424
Glendhu,174.71957,-36.76756
Glendhu,174.7176,-36.76765
Glendhu,174.71474,-36.77204
Glendhu,174.70387,-36.77596
Glendhu,174.71565,-36.76739
Glendhu,174.71154,-36.77504
Glendhu,174.70208,-36.77408
Glendhu,174.70191,-36.7776
Glendhu,174.71858,-36.77111
Glendhu,174.70966,-36.77389
Glendhu,174.71541,-36.76546
Glendhu,174.7071,-36.77272
Glendhu,174.71426,-36.77121
Glendhu,174.71713,-36.77317
Glendhu,174.71563,-36.76744
Glendhu,174.7108,-36.7747
Glendhu,174.70616,-36.76782
Glendhu,174.70292,-36.77879
Glendhu,174.70537,-36.77932
Glendhu,174.70908,-36.77376
Glendhu,174.70208,-36.77402
Glendhu,174.71022,-36.7698
Glendhu,174.70485,-36.7777
Glendhu,174.70609,-36.77002
Glendhu,174.71069,-36.7769
Glendhu,174.70156,-36.77588
Glendhu,174.71515,-36.76711
Glendhu,174.7175,-36.77332
Glendhu,174.70006,-36.77817
Glendhu,174.72116,-36.76958
Glendhu,174.71572,-36.76897
Glendhu,174.71399,-36.76682
Glendhu,174.70563,-36.7783
Glendhu,174.70856,-36.76744
Glendhu,174.7011,-36.77443
Glendhu,174.70205,-36.77823
Glendhu,174.70701,-36.77546
Glendhu,174.71257,-36.76598
Glendhu,174.71782,-36.76991
Glendhu,174.712,-36.77022
Glendhu,174.7055,-36.77831
Glendhu,174.71992,-36.77302
Glendhu,174.7097,-36.77057
Glendhu,174.70984,-36.77346
Glendhu,174.70565,-36.78005
Glendhu,174.71601,-36.77203
Glendhu,174.71315,-36.77069
Glendhu,174.71689,-36.77311
Glendhu,174.70955,-36.77086
Glendhu,174.71752,-36.76994
Glendhu,174.70574,-36.77287
Glendhu,174.71833,-36.76746
Glendhu,174.7084,-36.77653
Glendhu,174.70311,-36.77069
Glendhu,174.70254,-36.77843
Glendhu,174.70612,-36.76827
Glendhu,174.70455,-36.77271
Glendhu,174.71753,-36.76634
Glendhu,174.70409,-36.77699
Glendhu,174.71823,-36.76508
Glendhu,174.70541,-36.7799
Glendhu,174.70325,-36.77182
Glendhu,174.70198,-36.77589
Glendhu,174.70385,-36.77024
Glendhu,174.71873,-36.76989
Glendhu,174.7121,-36.76861
Glendhu,174.71215,-36.76695
Glendhu,174.71933,-36.77215
Glendhu,174.70292,-36.77441
Glendhu,174.70218,-36.7764
Glendhu,174.71699,-36.77388
Glendhu,174.70736,-36.77086
Glendhu,174.70071,-36.77478
Glendhu,174.71865,-36.76771
Glendhu,174.71004,-36.77541
Glendhu,174.71142,-36.77599
Glendhu,174.70252,-36.77498
Glendhu,174.71736,-36.7714
Glendhu,174.70762,-36.77939
Glendhu,174.71306,-36.76863
Glendhu,174.71127,-36.76815
Glendhu,174.70876,-36.77238
Glendhu,174.7048,-36.77873
Glendhu,174.71402,-36.76585
Glendhu,174.70427,-36.77003
Avondale South,174.69345,-36.9171
Avondale South,174.69959,-36.91863
Avondale South,174.71188,-36.91558
