2013 census area unit name,rent suburb name
Abbotts Park,
Aiguilles Island,
Akarana,
Albany,Albany
Algies Bay,
Ambury,
Aorere,
Arahanga,
Arch Hill,Grey Lynn/Arch Hill
Ardmore,Takanini/Ardmore
Armour Bay,
Army Bay,
Auckland Central East,Central East
Auckland Central West,Central West
Auckland Harbourside,Harbourside
Avondale South,Avondale
Avondale West,Avondale
Awaruku,
Awhitu,
Balmoral,Balmoral
Baverstock Oaks,
Bayswater,
Beachhaven North,Beachhaven/Birkdale
Beachhaven South,Beachhaven/Birkdale
Beachlands-Maraetai,
Beaumont,
Birdwood East,
Birdwood West,
Birkdale North,Beachhaven/Birkdale
Birkdale South,Beachhaven/Birkdale
Birkenhead East,Chatswood/Birkenhead/Northcote Point
Bleakhouse,
Bledisloe Park,
Blockhouse Bay,Blockhouse Bay/New Windsor
Bombay,
Bremner,
Browns Bay,Browns Bay
Browns Island,
Buckland,
Bucklands Beach South,Bucklands Beach
Bucklands and Eastern Beaches,Bucklands Beach
Burbank,
Burswood,
Campbells Bay,
Cape Rodney,
Cape Rodney South,
Castor Bay,
Chelsea,
Clendon North,
Clendon South,
Clevedon,Maraetai/Clevedon
Clover Park,
Cockle Bay,
Crown Hill,
Crum Park,
Dairy Flat-Redvale,
Dannemora,Dannemora
Dingwall,
Donegal Park,
Drury,Papakura/Drury/Karaka
Durham Green,
Eden Road-Hill Top,
Eden Terrace,Eden Terrace
Edgewater,
Edmonton,
Ellerslie North,Ellerslie
Ellerslie South,Ellerslie
Elsmore Park,
Epsom Central,Epsom
Epsom North,Epsom
Epsom South,Epsom
Fairburn,
Fairdene,
Fairview,
Favona North,
Favona South,
Favona West,
Ferguson,
Ferndale,
Forrest Hill,
Freemans Bay,Ponsonby/Freemans Bay
Fruitvale,
Glamorgan,
Glen Eden East,Glen Eden
Glen Innes East,Glen Innes/Pt England/Wai O Taiki
Glen Innes North,Glen Innes/Pt England/Wai O Taiki
Glen Innes West,Glen Innes/Pt England/Wai O Taiki
Glenavon,
Glenbrook,
Glendene North,Glendene
Glendene South,Glendene
Glendhu,Glendhu/Glenfield
Glendowie,St Helliers/Glendowie
Glenfield Central,Glendhu/Glenfield
Glenfield North,Wairau Park/Glenfield North
Golfland,
