2013 area unit name,WGS84 longitude of centroid of area unit,WGS84 latitude of centroid of area unit
Addington,172.61998,-43.54413
Aidanfield,172.56731,-43.56444
Akaroa,172.96616,-43.80892
Akaroa Harbour,172.94584,-43.80935
Allenton East,171.7512,-43.88828
Allenton West,171.73234,-43.89054
Amberley,172.73099,-43.15478
Amuri,172.71955,-42.56714
Aorangi,172.59531,-43.49968
Aranui,172.70659,-43.51025
Ardgowan,170.93766,-45.08107
Ashburton Central East,171.75044,-43.9067
Ashburton Central West,171.74254,-43.90063
Ashburton East,171.77153,-43.91511
Ashburton North,171.76199,-43.87595
Ashley,172.63365,-43.23898
Ashley Gorge,172.12144,-43.23082
Aviemore,170.04136,-44.54486
Avon Loop,172.64281,-43.52552
Avondale,172.69181,-43.50673
Avonhead,172.55639,-43.52054
Avonhead West,172.54302,-43.51911
Avonside,172.67087,-43.52115
Banks Peninsula Eastern Bays,172.99943,-43.72501
Barrington North,172.60825,-43.55483
Barrington South,172.61924,-43.56595
Beckenham,172.64283,-43.5634
Belfast,172.61281,-43.44352
Belfast South,172.61225,-43.4602
Ben Mcleod,170.88248,-43.67902
Bexley,172.71457,-43.51852
Bishopdale,172.5857,-43.493
Bishopdale North,172.57354,-43.47627
Bromley,172.70342,-43.53516
Broomfield,172.53743,-43.52691
Bryndwr,172.59666,-43.51343
Burnham Military Camp,172.30297,-43.61514
Burnside,172.56954,-43.50226
Burwood,172.67485,-43.50279
Camside,172.69197,-43.37485
Cape Wanbrow,170.94759,-45.11851
Casebrook,172.60173,-43.48611
Cashmere East,172.64736,-43.58589
Cashmere West,172.62781,-43.58935
Cathedral Square,172.6372,-43.53478
Chertsey,171.93794,-43.85769
Cheviot,173.26672,-42.81372
Clarkville,172.62231,-43.40489
Coldstream,172.66149,-43.29197
Courtenay,172.66,-43.39238
Culverden,172.83735,-42.7771
Cust,172.3894,-43.31042
Dallington,172.67539,-43.51324
Darfield,172.10742,-43.48882
Deans Bush,172.59581,-43.52367
Diamond Harbour,172.72638,-43.66078
Dunsandel,172.19065,-43.6597
Duntroon,170.70246,-44.85471
Edgeware,172.64705,-43.51435
Ensors,172.66508,-43.54655
Eyrewell,172.32984,-43.41018
Fairlie,170.82619,-44.10032
Fairton,171.80369,-43.88387
Fairview-Scarborough,171.21516,-44.42312
Fendalton,172.5846,-43.5185
Fernside,172.51426,-43.30602
Ferrymead,172.69414,-43.55116
Fraser Park,171.22995,-44.39564
Geraldine,171.24314,-44.09407
Gleniti,171.19728,-44.38299
Glenwood,171.20851,-44.38743
Governors Bay,172.64671,-43.65569
Hagley Park,172.62184,-43.53007
Halswell Domain,172.57336,-43.57904
Halswell South,172.56809,-43.58717
Halswell West,172.54579,-43.58432
Hampden,170.81799,-45.32548
Hampstead,171.75646,-43.91159
Hanmer Springs,172.82305,-42.523
Harewood,172.56925,-43.48622
Hawthornden,172.54942,-43.50802
Heathcote Valley,172.70353,-43.57627
Hendersons Basin,172.58782,-43.57709
Highfield,171.22083,-44.38894
Highfield Park,172.6451,-43.47775
Hillmorton,172.58836,-43.55927
Hinds,171.57021,-43.93419
Holmwood,172.60838,-43.5195
Hoon Hay,172.60237,-43.56225
Hoon Hay South,172.61117,-43.57115
Hornby North,172.5292,-43.53803
Hornby South,172.52978,-43.54784
Hurunui,172.54388,-42.89731
Ilam,172.56872,-43.52255
Islington,172.50846,-43.54813
Jellie Park,172.58321,-43.50798
Kaiapoi East,172.66705,-43.38354
Kaiapoi North East,172.67329,-43.36873
Kaiapoi North West,172.65639,-43.36893
Kaiapoi South,172.65299,-43.38536
Kaiapoi West,172.64367,-43.38207
Kaikoura Rural,173.64409,-42.19736
Kaikoura Township,173.6889,-42.41408
Kakanui,170.88725,-45.18786
Kennedys Bush,172.60053,-43.60809
Kingsbury,172.58747,-43.29019
Kirwee,172.16716,-43.52839
Kurow,170.47325,-44.73959
Lake Tekapo,170.47269,-44.00755
Lake Tennyson,172.81709,-42.34089
Leeston,172.29656,-43.76199
Lehmans,172.57328,-43.30856
Leithfield,172.60715,-43.12978
Levels,171.08172,-44.30482
Lincoln,172.48404,-43.64237
Linwood,172.65903,-43.52975
Linwood East,172.68177,-43.53083
Linwood North,172.67222,-43.52803
Little River,172.72633,-43.78082
Loburn,172.52055,-43.23245
Lyttelton,172.69732,-43.60162
Mackenzie,170.4469,-43.96514
Maheno,170.74436,-45.11154
Mairaki,172.36604,-43.28216
Mairehau,172.64027,-43.50204
Mairehau North,172.6434,-43.49158
Malvern,171.71435,-43.15902
Mandeville,172.51535,-43.39753
Mansfield,172.64669,-43.39182
Maori Park,171.24222,-44.3878
Marchwiel,171.22468,-44.37854
Mcleans Island,172.48171,-43.47043
Merivale,172.61954,-43.51699
Merrin,172.55986,-43.51065
Methven,171.6422,-43.6327
Middleton,172.58602,-43.54726
Mona Vale,172.60081,-43.52704
Moncks Bay,172.74073,-43.57516
Mt Cook,170.08496,-43.73651
Mt Pleasant,172.72178,-43.57186
Mt Somers,171.23063,-43.51063
Nenthorn,170.46679,-45.49148
Netherby,171.76581,-43.90025
New Brighton,172.7302,-43.51587
North Beach,172.71438,-43.49061
Northcote,172.61173,-43.4883
Oaklands East,172.56173,-43.57611
Oaklands West,172.54935,-43.56932
Oamaru Central,170.96099,-45.09696
Oamaru North,170.98344,-45.07207
Oamaru South,170.95899,-45.10901
Ohoka,172.58435,-43.38541
Okuku,172.31093,-43.13705
Omarama,169.94219,-44.48261
Opawa,172.66337,-43.55654
Orana Park,170.97517,-45.08525
Orari,171.21662,-44.09699
Otematata,170.21224,-44.61221
