origin area unit,destination area unit,distance (kilometers),time (hours)
Addington,Addington,0,0
Addington,Spreydon,1.034520438,0.068968029
Addington,Sydenham,2.038161418,0.135877428
Addington,Somerfield,2.126361639,0.141757443
Addington,Hagley Park,2.129154667,0.141943645
Addington,Barrington North,2.189081389,0.145938759
Addington,Cathedral Square,2.357614566,0.157174304
Addington,Riccarton South,2.393972,0.159598133
Addington,Riccarton,2.398695066,0.159913004
Addington,Waltham,2.787969015,0.185864601
Addington,Mona Vale,3.210980241,0.214065349
Addington,Barrington South,3.323444203,0.221562947
Addington,Riccarton West,3.323778716,0.221585248
Addington,Beckenham,3.453721494,0.2302481
Addington,Holmwood,3.556613646,0.237107576
Addington,Avon Loop,3.567794692,0.23785298
Addington,Middleton,3.589329812,0.239288654
Addington,Hillmorton,3.639012734,0.242600849
Addington,Deans Bush,3.808656205,0.253910414
Addington,Merivale,3.869019238,0.257934616
Addington,St Albans West,3.893340974,0.259556065
Addington,Hoon Hay,3.961869898,0.26412466
Addington,Phillipstown,4.021495304,0.268099687
Addington,Hoon Hay South,4.029240335,0.268616022
Addington,Wharenui,4.203416035,0.280227736
Addington,St Martins,4.364195704,0.29094638
Addington,Ensors,4.392700209,0.292846681
Addington,Linwood,4.434427903,0.295628527
Addington,St Albans East,4.501488762,0.300099251
Addington,Opawa,4.596713661,0.306447577
Addington,Richmond South,5.036278102,0.335751874
Addington,Strowan,5.118844258,0.341256284
Addington,Upper Riccarton,5.142716785,0.342847786
Addington,Bryndwr,5.166620507,0.344441367
Addington,Edgeware,5.171757377,0.344783825
Addington,Fendalton,5.190305755,0.346020384
Addington,Rutland,5.366851876,0.357790125
Addington,Woolston West,5.385092725,0.359006182
Addington,Aidanfield,5.575079621,0.371671975
Addington,Hendersons Basin,5.605923076,0.373728205
Addington,Linwood North,5.685013461,0.379000898
Addington,Cashmere East,5.765543792,0.384369586
Addington,Cashmere West,5.914518578,0.394301239
Addington,Richmond North,5.975971272,0.398398085
Addington,Papanui,6.000142474,0.400009498
Addington,Avonside,6.034805373,0.402320358
Addington,Woolston South,6.073674195,0.404911613
Addington,Mairehau,6.103375896,0.406891726
Addington,Westmorland,6.154470998,0.410298067
Addington,Ilam,6.229008107,0.415267207
Addington,Sockburn,6.294015867,0.419601058
Addington,Aorangi,6.456521298,0.430434753
Addington,Jellie Park,6.485242336,0.432349489
Addington,Linwood East,6.551885496,0.436792366
Addington,Shirley West,6.601861304,0.440124087
Addington,Westburn,6.616584298,0.44110562
Addington,Halswell Domain,6.682302293,0.44548682
Addington,Oaklands East,6.699334786,0.446622319
Addington,Dallington,6.891999644,0.459466643
Addington,Wairarapa,6.951669754,0.46344465
Addington,Rapaki Track,7.393453015,0.492896868
Addington,Avonhead,7.449775571,0.496651705
Addington,Oaklands West,7.530545092,0.50203634
Addington,Northcote,7.563691914,0.504246128
Addington,Shirley East,7.568649641,0.504576643
Addington,Casebrook,7.686672863,0.512444858
Addington,Merrin,7.73055008,0.515370005
Addington,Wainoni,7.828277279,0.521885152
Addington,Mairehau North,7.867041256,0.524469417
Addington,Burnside,7.870607044,0.524707136
Addington,Bishopdale,7.87348474,0.524898983
Addington,Ferrymead,7.954116907,0.530274461
Addington,Burwood,8.069632665,0.537975511
Addington,Redwood South,8.105200843,0.540346723
Addington,Halswell South,8.189954862,0.545996991
Addington,Wigram,8.420514682,0.561367646
Addington,Halswell West,8.481881272,0.565458752
Addington,Hornby North,8.526063603,0.56840424
Addington,Bromley,8.598707439,0.573247163
Addington,Hawthornden,8.614283078,0.574285539
Addington,Avonhead West,8.781245208,0.585416347
Addington,Russley,8.792016883,0.586134459
Addington,Westhaven,8.798908341,0.58659389
Addington,Hornby South,8.908658456,0.593910564
Addington,Avondale,9.239819205,0.615987947
Addington,Styx Mill,9.391590808,0.626106054
Addington,Aranui,9.654838545,0.643655903
Addington,Highfield Park,9.805998812,0.653733254
Addington,Harewood,9.864712714,0.657647514
Addington,Travis,10.04883664,0.669922443
Addington,Bishopdale North,10.22513713,0.681675809
Addington,Bexley,10.49391024,0.699594016
Addington,Mt Pleasant,10.84845867,0.723230578
Addington,Heathcote Valley,10.93547382,0.729031588
Addington,Sawyers Arms,11.06238621,0.737492414
Addington,Rawhiti,11.16848618,0.744565746
Addington,New Brighton,11.54285381,0.769523587
Addington,North Beach,11.75360878,0.783573919
Addington,Redwood North,11.76909564,0.784606376
Addington,Prestons,11.78774149,0.785849433
Addington,Kennedys Bush,11.88517658,0.792345106
Addington,Prebbleton,12.58035439,0.838690293
Addington,Trents-Ladbrooks,12.78136415,0.852090943
Addington,Belfast South,13.12465938,0.874977292
Addington,Travis Wetland,13.5134124,0.90089416
Addington,Templeton,13.92893826,0.928595884
Addington,Waimairi Beach,14.05917492,0.937278328
Addington,Moncks Bay,14.20922277,0.947281518
Addington,South Brighton,14.34336458,0.956224306
Addington,Governors Bay,15.61713223,1.041142148
Addington,Styx,16.28848349,1.085898899
Addington,Taitapu,16.36802218,1.091201479
Addington,West Melton,16.83604908,1.122403272
Addington,Paparua,16.91486895,1.12765793
Addington,Yaldhurst,17.20583231,1.147055487
Addington,Sumner,17.41958784,1.161305856
Addington,Lyttelton,17.47168942,1.164779295
Addington,Lincoln,18.54167639,1.236111759
Addington,Clarkville,19.90844315,1.327229543
Addington,Mansfield,20.2164104,1.347760693
Addington,Courtenay,20.40852374,1.360568249
Addington,Kaiapoi South,20.48244738,1.365496492
Addington,Kaiapoi West,21.33975116,1.422650078
Addington,Silverstream,22.05349767,1.470233178
Addington,Kaiapoi East,22.08860337,1.472573558
Addington,Kaiapoi North West,22.73101235,1.515400824
Addington,Rolleston South East,22.79602359,1.519734906
Addington,Rolleston North East,23.30118515,1.553412343
Addington,Mcleans Island,23.78982665,1.585988444
Addington,Camside,23.82108465,1.58807231
Addington,Kaiapoi North East,23.84434363,1.589622909
Addington,Rolleston Central,23.98163407,1.598775605
