origin area unit,destination area unit,distance (kilometers),time (hours)
Addington,Addington,0,0
Addington,Spreydon,1.034520438,0.020690409
Addington,Riccarton South,1.383019139,0.027660383
Addington,Sydenham,1.90908415,0.034886436
Addington,Hagley Park,1.810303322,0.036157374
Addington,Barrington North,2.095093964,0.040495081
Addington,Somerfield,2.126361639,0.042527233
Addington,Riccarton,2.398695066,0.044711866
Addington,Cathedral Square,2.317026728,0.046340535
Addington,Waltham,2.858973741,0.057179475
Addington,Mona Vale,3.210980241,0.059962776
Addington,Riccarton West,3.341935897,0.060801768
Addington,Barrington South,3.347400727,0.066948015
Addington,Beckenham,3.500349899,0.068310171
Addington,Deans Bush,3.808656205,0.071916295
Addington,Middleton,3.620589435,0.07248657
Addington,Holmwood,3.692377025,0.072621993
Addington,Hillmorton,3.644351648,0.072887033
Addington,Avon Loop,3.657051825,0.073141037
Addington,Wharenui,4.203416035,0.073835054
Addington,Ensors,4.324626622,0.075658547
Addington,Phillipstown,4.021495304,0.080401765
Addington,Hoon Hay South,4.030375741,0.080559704
Addington,Hoon Hay,4.120739492,0.082342309
Addington,St Albans West,4.157844066,0.083075027
Addington,Merivale,4.340486173,0.085584176
Addington,Opawa,4.644389138,0.08600223
Addington,Linwood,4.537448898,0.090748978
Addington,Sockburn,6.707581708,0.092565165
Addington,St Albans East,4.681814067,0.093636281
Addington,Upper Riccarton,5.157586962,0.094596009
Addington,Bryndwr,5.175853991,0.099260251
Addington,Woolston West,5.629464573,0.09930846
Addington,Fendalton,5.190305755,0.099549286
Addington,St Martins,5.043949052,0.099560199
Addington,Hendersons Basin,5.607058482,0.103163723
Addington,Richmond South,5.168260071,0.103365201
Addington,Strowan,5.254607637,0.103866606
Addington,Edgeware,5.265501487,0.10531003
Addington,Cashmere East,5.445354443,0.107501388
Addington,Woolston South,6.083041733,0.108256717
Addington,Rutland,5.528838863,0.110552489
Addington,Ilam,7.581658022,0.110757395
Addington,Linwood North,5.767783639,0.114563268
Addington,Aidanfield,8.131315403,0.120197269
Addington,Linwood East,6.928335747,0.121403523
Addington,Avonhead,8.287189228,0.121737868
Addington,Richmond North,6.213545159,0.124270903
Addington,Mairehau,6.265362883,0.125204738
Addington,Papanui,6.264645566,0.125211057
Addington,Westmorland,6.3087456,0.125476993
Addington,Avonside,6.166787342,0.125627194
Addington,Cashmere West,5.938475101,0.12643363
Addington,Jellie Park,6.486788967,0.126620442
Addington,Oaklands West,10.59847385,0.126777463
Addington,Westburn,6.616584298,0.128074857
Addington,Aorangi,6.7376755,0.130496681
Addington,Wigram,8.834080524,0.130755115
Addington,Halswell West,11.57264358,0.133586013
Addington,Halswell Domain,7.628229021,0.13360884
Addington,Ferrymead,7.473743804,0.133651019
Addington,Hornby North,8.939629444,0.134518953
Addington,Avonhead West,9.126119684,0.134806073
