origin area unit,destination area unit,distance (kilometers),time (hours)
Addington,Addington,0,0
Addington,Spreydon,1.034520438,0.206904088
Addington,Sydenham,2.038161418,0.407632284
Addington,Somerfield,2.126361639,0.425272328
Addington,Hagley Park,2.129154667,0.425830934
Addington,Barrington North,2.189081389,0.437816278
Addington,Riccarton South,2.247318999,0.4494638
Addington,Cathedral Square,2.328561636,0.465712327
Addington,Riccarton,2.338589315,0.467717863
Addington,Waltham,2.787969015,0.557593803
Addington,Mona Vale,3.207612368,0.641522474
Addington,Barrington South,3.323444203,0.664688841
Addington,Riccarton West,3.323778716,0.664755743
Addington,Beckenham,3.453721494,0.690744299
Addington,Holmwood,3.480596868,0.696119374
Addington,Avon Loop,3.524697093,0.704939419
Addington,Middleton,3.567671556,0.713534311
Addington,Hillmorton,3.639012734,0.727802547
Addington,Deans Bush,3.805288333,0.761057667
Addington,Merivale,3.836879932,0.767375986
Addington,St Albans West,3.864832498,0.7729665
Addington,Hoon Hay,3.961869898,0.79237398
Addington,Phillipstown,4.005919078,0.801183816
Addington,Hoon Hay South,4.029240335,0.805848067
Addington,Wharenui,4.199085598,0.83981712
Addington,St Martins,4.364195704,0.872839141
Addington,Ensors,4.376059024,0.875211805
Addington,Linwood,4.404765558,0.880953112
Addington,St Albans East,4.458391163,0.891678233
Addington,Opawa,4.596713661,0.919342732
Addington,Richmond South,4.96724764,0.993449528
Addington,Edgeware,5.016262131,1.003252426
Addington,Strowan,5.118844258,1.023768852
Addington,Upper Riccarton,5.132649626,1.026529925
Addington,Bryndwr,5.160454946,1.032090989
Addington,Fendalton,5.186937882,1.037387576
Addington,Woolston West,5.363274807,1.072654961
Addington,Rutland,5.366851876,1.073370375
Addington,Aidanfield,5.559108513,1.111821703
Addington,Hendersons Basin,5.605923076,1.121184615
Addington,Linwood North,5.655351116,1.131070223
Addington,Cashmere East,5.765543792,1.153108759
Addington,Cashmere West,5.914518578,1.182903716
Addington,Richmond North,5.932873673,1.186574735
Addington,Papanui,5.971633998,1.1943268
Addington,Avonside,5.991707773,1.198341555
Addington,Sockburn,6.048593264,1.209718653
Addington,Woolston South,6.073674195,1.214734839
Addington,Mairehau,6.103375896,1.220675179
Addington,Westmorland,6.154470998,1.2308942
Addington,Ilam,6.229008107,1.245801622
Addington,Linwood East,6.333618865,1.266723773
Addington,Aorangi,6.456521298,1.29130426
Addington,Jellie Park,6.467693923,1.293538785
Addington,Halswell Domain,6.561994785,1.312398957
Addington,Shirley West,6.57538913,1.315077826
Addington,Westburn,6.613216425,1.322643285
Addington,Oaklands East,6.693561064,1.338712213
Addington,Dallington,6.822969182,1.364593837
Addington,Wairarapa,6.93412134,1.386824268
Addington,Rapaki Track,7.393453015,1.478690603
Addington,Avonhead,7.449775571,1.489955114
Addington,Shirley East,7.517281973,1.503456395
Addington,Oaklands West,7.52320264,1.504640528
Addington,Northcote,7.557713991,1.511542798
Addington,Burnside,7.597149885,1.519429977
Addington,Casebrook,7.686672863,1.537334573
Addington,Merrin,7.727182207,1.545436442
Addington,Wainoni,7.785179679,1.557035936
Addington,Bishopdale,7.789391622,1.557878324
Addington,Mairehau North,7.840569081,1.568113816
Addington,Ferrymead,7.954116907,1.590823381
Addington,Burwood,8.000602203,1.600120441
Addington,Redwood South,8.016555245,1.603311049
Addington,Wigram,8.167057276,1.633411455
Addington,Hornby North,8.177660112,1.635532023
Addington,Halswell South,8.189893725,1.637978745
Addington,Halswell West,8.475279234,1.695055847
Addington,Bromley,8.58007602,1.716015203
Addington,Hawthornden,8.610915205,1.722183042
Addington,Hornby South,8.663235853,1.73264717
Addington,Westhaven,8.747540674,1.749508135
Addington,Russley,8.773712941,1.754742588
Addington,Avonhead West,8.781245208,1.756249042
Addington,Avondale,9.196721606,1.839344322
Addington,Styx Mill,9.391590808,1.878318162
Addington,Aranui,9.570652699,1.91413054
Addington,Highfield Park,9.779526637,1.955905327
Addington,Harewood,9.85649685,1.97129937
Addington,Travis,9.979806179,1.995961235
Addington,Bishopdale North,10.2240749,2.04481498
Addington,Bexley,10.4097244,2.08194488
Addington,Mt Pleasant,10.84375705,2.168751408
Addington,Heathcote Valley,10.90792247,2.181584493
Addington,Sawyers Arms,11.05455561,2.210911122
Addington,Rawhiti,11.09866443,2.219732887
Addington,Yaldhurst,11.44858937,2.289717873
Addington,New Brighton,11.45866796,2.291733592
Addington,North Beach,11.68378702,2.336757405
Addington,Kennedys Bush,11.70888307,2.341776613
Addington,Prestons,11.74077517,2.348155033
Addington,Redwood North,11.74262346,2.348524692
Addington,Prebbleton,12.23237621,2.446475243
Addington,Trents-Ladbrooks,12.7740217,2.55480434
Addington,Belfast South,13.11682877,2.623365753
Addington,Travis Wetland,13.45870708,2.691741415
Addington,Templeton,13.58053477,2.716106953
Addington,Waimairi Beach,13.98935317,2.797870633
Addington,South Brighton,14.25917874,2.851835747
Addington,Moncks Bay,14.385424,2.8770848
Addington,Governors Bay,15.61713223,3.123426445
Addington,Lyttelton,16.25196679,3.252060025
Addington,Styx,16.26201132,3.252402263
Addington,Taitapu,16.36796104,3.273592208
Addington,West Melton,16.48764559,3.297529118
Addington,Paparua,16.56646546,3.313293093
