origin (2013 area unit name),destination,distance (kilometers),time (hours)
Atawhai,Atawhai,0.0,0.0
Atawhai,Atmore,,
Atawhai,Britannia,,
Atawhai,Broads,,
Atawhai,Bronte,,
Atawhai,Clifton,,
Atawhai,Enner Glynn,15.787,0.3288888888888889
Atawhai,Grampians,8.705,0.7563888888888889
Atawhai,Isel Park,14.668,0.8744444444444445
Atawhai,Kirks,,
Atawhai,Langbein,12.834,0.445
Atawhai,Maitai,,
Atawhai,Maitlands,12.733,0.4475
Atawhai,Nayland,13.064,0.4886111111111111
Atawhai,Nelson Airport,15.051,0.8936111111111111
Atawhai,Ngawhatu,15.153,0.3211111111111111
Atawhai,Port Nelson,4.814,0.9641666666666666
Atawhai,Saxton,13.784,0.6313888888888889
Atawhai,Saxton Island,15.125,0.31666666666666665
Atawhai,Tahuna Hills,9.339,0.4841666666666667
Atawhai,Tahunanui,8.823,0.3111111111111111
Atawhai,The Brook,,
Atawhai,The Wood,3.567,0.7097222222222223
Atawhai,Toi Toi,,
Atawhai,Trafalgar,4.552,0.9169444444444445
Atawhai,Washington,,
Atawhai,Whangamoa,14.769,0.25916666666666666
Atmore,Atawhai,,
Atmore,Atmore,0.0,0.0
Atmore,Britannia,,
Atmore,Broads,4.893,0.9666666666666667
Atmore,Bronte,3.254,0.63
Atmore,Clifton,9.798,0.6255555555555555
Atmore,Enner Glynn,10.411,0.7733333333333333
Atmore,Grampians,,
Atmore,Isel Park,14.429,0.9413888888888889
Atmore,Kirks,3.98,0.7786111111111111
Atmore,Langbein,12.595,0.5119444444444444
Atmore,Maitai,3.006,0.5305555555555556
Atmore,Maitlands,12.494,0.5144444444444445
Atmore,Nayland,12.825,0.5555555555555556
Atmore,Nelson Airport,,
Atmore,Ngawhatu,14.914,0.38805555555555554
Atmore,Port Nelson,4.911,0.9505555555555556
Atmore,Saxton,13.545,0.6983333333333334
Atmore,Saxton Island,14.886,0.3836111111111111
Atmore,Tahuna Hills,,
Atmore,Tahunanui,8.584,0.37805555555555553
Atmore,The Brook,,
Atmore,The Wood,3.291,0.605
Atmore,Toi Toi,,
Atmore,Trafalgar,3.239,0.6038888888888889
Atmore,Washington,,
Atmore,Whangamoa,19.839,0.3597222222222222
Britannia,Atawhai,10.084,0.5119444444444444
Britannia,Atmore,,
Britannia,Britannia,0.0,0.0
Britannia,Broads,3.138,0.6486111111111111
Britannia,Bronte,2.777,0.5916666666666667
Britannia,Clifton,8.721,0.9233333333333333
Britannia,Enner Glynn,9.845,1.19
Britannia,Grampians,5.688,0.9991666666666666
Britannia,Isel Park,,
Britannia,Kirks,2.016,0.425
Britannia,Langbein,11.432,0.7763888888888889
Britannia,Maitai,4.152,0.8533333333333334
Britannia,Maitlands,11.331,0.7788888888888889
Britannia,Nayland,11.662,0.82
Britannia,Nelson Airport,,
Britannia,Ngawhatu,13.751,0.6525
Britannia,Port Nelson,1.736,0.33666666666666667
Britannia,Saxton,12.382,0.9627777777777777
Britannia,Saxton Island,13.723,0.6480555555555556
Britannia,Tahuna Hills,3.28,0.7425
Britannia,Tahunanui,3.169,0.6541666666666667
Britannia,The Brook,,
Britannia,The Wood,2.77,0.43027777777777776
Britannia,Toi Toi,3.439,0.7558333333333334
Britannia,Trafalgar,1.854,0.38555555555555554
Britannia,Washington,1.733,0.405
Britannia,Whangamoa,18.761,0.6575
Broads,Atawhai,10.844,0.655
Broads,Atmore,,
Broads,Britannia,3.139,0.6727777777777778
Broads,Broads,0.0,0.0
Broads,Bronte,1.579,0.3377777777777778
Broads,Clifton,9.481,1.0663888888888888
Broads,Enner Glynn,4.102,0.9197222222222222
Broads,Grampians,2.256,0.5258333333333334
Broads,Isel Park,14.147,1.5719444444444444
Broads,Kirks,2.091,0.43583333333333335
Broads,Langbein,12.313,1.1425
Broads,Maitai,4.093,0.8319444444444445
Broads,Maitlands,4.089,0.8722222222222222
Broads,Nayland,4.644,0.9605555555555556
Broads,Nelson Airport,,
Broads,Ngawhatu,14.632,1.0186111111111111
Broads,Port Nelson,3.449,0.6961111111111111
