Weston,600600
Pukeuri,600811
Ardgowan,600812
Cape Wanbrow,600813 
Duntroon,600822
Kurow,600824
Maheno,600826
Omarama,600827
Kakanui,600828
Otematata,600830
Aviemore,600831
Hampden,600840
Oamaru North,601010
Orana Park,601020
Oamaru Central,601030
Oamaru South,601040
Palmerston,601200
Waihemo,601301
Nenthorn,601700
Teviot,607501
Roxburgh,607800
Ranfurly,607900
Maniototo,608000
Naseby,608100
Dunstan,608302
Clyde,608303
Alexandra,608500
Cromwell,608600
Hawea,608304
Frankton,608700
Wanaka,608800
Glenorchy,609013
Kingston South,609014
Kelvin Heights,609022
Sunshine Bay,609023
Lake Hayes,609028
Matukituki,609029
Outer Wakatipu,609031
Wakatipu Basin,609032
Frankton East,609033
Lake Hayes South,609034
Jacks Point,609035
Arrowtown,609200
Queenstown Hill,609302
Arthurs Point,609303
Queenstown Bay,609304
Hyde,601302
Waikouaiti,601400
Aramoana,601500
Waitati,601602
Evansdale,601603
Karitane,601604
Warrington,601605
Fairfield,601900
Brighton,602000
Waldronville,602100
Outram,602200
Middlemarch,602300
Wyllies Crossing,602411
Wingatui,602412
Kaikorai Hill,602421
Saddle Hill,602422
Taieri,602500
Strath Taieri,602600
Harbourside,602800
Fernhill,602900
High St-Stuart St,603000
Stuart St-Frederick St,603100
Opoho,603210
Forrester Park,603220
North East Valley,603300
Pine Hill,603400
Woodhaugh,603500
North Dunedin,603601
Otago University,603602
Maori Hill,603710
Balmacewen,603720
Glenleith,603810
Helensburgh,603820
Wakari,603910
Halfway Bush,603920
Brockville,603930
Roslyn North,604010
Roslyn South,604020
Mornington,604110
Belleknowes,604120
Kenmure,604130
Caversham,604210
Corstorphine West,604221
Corstorphine East,604222
Caledonian,604300
South Dunedin,604410
Forbury,604420
St Clair,604500
Musselburgh,604611
Andersons Bay,604612
Vauxhall,604620
St Leonards-Blanket Bay,604710
Ravensbourne,604720
Inner Peninsula,604810
Company Bay,604821
Macandrew Bay,604822
Broad Bay-Portobello,604830
Taiaroa-Cape Saunders,604901
Sandymount,604902
Sawyers Bay,605100
Port Chalmers,605200
St Kilda West,605400
St Kilda Central,605500
St Kilda East,605600
Green Island,605800
Abbotsford,605910
Concord,605920
Mosgiel East,606100
Mosgiel South,606210
East Taieri,606220
Bush Road,606300
Benhar,606500
Stirling,606600
Bruce,606700
Milton,606800
Kaitangata,606900
Clinton,607000
Kaka Point,607100
Owaka,607200
Clutha,607300
Balclutha,607400
Tuapeka,607502
Tapanui,607600
Lawrence,607700
