Origin Area Unit,Destination Area Unit,Distance (kilometers),Time (hours)
Acacia Bay,Acacia Bay,0,0
Acacia Bay,Lakewood,5.778178694,0.081795356
Acacia Bay,Nukuhau,6.744270357,0.097201482
Acacia Bay,Rangatira,8.008086534,0.116828588
Acacia Bay,Rangatira Park,8.802801622,0.126968404
Acacia Bay,Taupo Central,8.335980892,0.129035693
Acacia Bay,Tauhara,9.907939779,0.159157913
Acacia Bay,Hilltop,11.08616104,0.184039296
Acacia Bay,Taupo East,12.71054077,0.196143425
Acacia Bay,Waipahihi,12.06095057,0.203535086
Acacia Bay,Maunganamu,14.02119851,0.212867701
Acacia Bay,Richmond Heights,12.61875873,0.214691249
Acacia Bay,Wairakei-Aratiatia,16.17217738,0.227153494
Acacia Bay,Wharewaka,15.7964181,0.240964976
Acacia Bay,Waitahanui,18.81497568,0.271150552
Acacia Bay,Oruanui,22.06155089,0.291463491
Acacia Bay,Kinloch,26.21408579,0.292101329
Acacia Bay,Tatua,33.25753784,0.444284057
Acacia Bay,Marotiri,47.50292295,0.502967696
Acacia Bay,Reporoa,48.4780115,0.546910941
Acacia Bay,Motuoapa,48.60357268,0.583650643
Acacia Bay,Golden Springs,51.38009327,0.59808657
Acacia Bay,Mangakino,58.16865288,0.613248355
Acacia Bay,Turangi,59.02530869,0.696741384
Acacia Bay,Kinleith,65.6502575,0.70982687
Acacia Bay,Amisfield,67.33703016,0.716988791
Acacia Bay,Wawa,65.86365078,0.735135847
Acacia Bay,Tokaanu,63.30593271,0.739214593
Acacia Bay,Tokoroa Central,69.16573852,0.743335405
Acacia Bay,Strathmore,68.75195013,0.744419034
Acacia Bay,Broadlands,30.47392864,0.745875211
Acacia Bay,Stanley Park,70.15565404,0.758876244
Acacia Bay,Aotea,70.47663559,0.775655718
Acacia Bay,Matarawa,71.18780803,0.77862498
Acacia Bay,Parkdale,71.79721558,0.780565843
Acacia Bay,Paraonui,71.97945936,0.794227159
Acacia Bay,Mangakaretu,72.366716,0.803908575
Acacia Bay,Omori,73.76656231,0.844262219
Acacia Bay,Kuratau,83.637994,0.849658832
Acacia Bay,Taharua,53.16008243,0.855588772
Acacia Bay,Ngakuru,75.92867471,0.858476392
Acacia Bay,Rangipo,74.18785285,0.861748013
Acacia Bay,Whaka,82.56697363,0.870655687
Acacia Bay,Springfield,83.81037841,0.897524865
Acacia Bay,Glenholme East,84.29400134,0.901746058
Acacia Bay,Fenton,84.41597598,0.901803458
Acacia Bay,Glenholme West,84.41483009,0.913305634
Acacia Bay,Hillcrest,84.43900162,0.913332827
Acacia Bay,Victoria,85.21746226,0.915880678
Acacia Bay,Pomare,85.01297527,0.917293088
Acacia Bay,Utuhina,85.37065883,0.931454301
Acacia Bay,Sunnybrook,85.92125728,0.931582772
