2013 area unit name,WGS84 longitude of a sample point in the area unit,WGS84 latitude of sample point
Waiwhetu North,174.92035,-41.2233
Waiwhetu North,174.91102,-41.22191
Waiwhetu North,174.93541,-41.22497
Waiwhetu North,174.93203,-41.22666
Waiwhetu North,174.93387,-41.22698
Waiwhetu North,174.93596,-41.22406
Waiwhetu North,174.91213,-41.22128
Waiwhetu North,174.93833,-41.22364
Waiwhetu North,174.92019,-41.22351
Waiwhetu North,174.91909,-41.22093
Waiwhetu North,174.93268,-41.22273
Waiwhetu North,174.91325,-41.22254
Waiwhetu North,174.91453,-41.22324
Waiwhetu North,174.92805,-41.22471
Waiwhetu North,174.91578,-41.21892
Waiwhetu North,174.91358,-41.21999
Waiwhetu North,174.92654,-41.22443
Waiwhetu North,174.92309,-41.22356
Waiwhetu North,174.92557,-41.2231
Waiwhetu North,174.92451,-41.22342
Waiwhetu North,174.91452,-41.21987
Waiwhetu North,174.91351,-41.22238
Waiwhetu North,174.9353,-41.22699
Waiwhetu North,174.92331,-41.22291
Waiwhetu North,174.92416,-41.22466
Waiwhetu North,174.93464,-41.2263
Waiwhetu North,174.92589,-41.22439
Waiwhetu North,174.91758,-41.22351
Waiwhetu North,174.91569,-41.22227
Waiwhetu North,174.9189,-41.22258
Waiwhetu North,174.91813,-41.22171
Waiwhetu North,174.92211,-41.22362
Waiwhetu North,174.92957,-41.22619
Waiwhetu North,174.93153,-41.22676
Waiwhetu North,174.93073,-41.22445
Waiwhetu North,174.92859,-41.22588
Waiwhetu North,174.92856,-41.2227
Waiwhetu North,174.93582,-41.22521
Waiwhetu North,174.93169,-41.22344
Waiwhetu North,174.91527,-41.22145
Waiwhetu North,174.93292,-41.22356
Waiwhetu North,174.93377,-41.22712
Waiwhetu North,174.91427,-41.22134
Waiwhetu North,174.91925,-41.22318
Waiwhetu North,174.91134,-41.22192
Waiwhetu North,174.9358,-41.22718
Waiwhetu North,174.91734,-41.22304
Waiwhetu North,174.92741,-41.22309
Waiwhetu North,174.91961,-41.22418
Waiwhetu North,174.9107,-41.22167
Waiwhetu North,174.93182,-41.22327
Waiwhetu North,174.91454,-41.22005
Waiwhetu North,174.93068,-41.22677
Waiwhetu North,174.91032,-41.22187
Waiwhetu North,174.92262,-41.22412
Waiwhetu North,174.91317,-41.21981
Waiwhetu North,174.93168,-41.22576
Waiwhetu North,174.93138,-41.22558
Waiwhetu North,174.91517,-41.22185
Waiwhetu North,174.91851,-41.22046
Waiwhetu North,174.91305,-41.22048
Waiwhetu North,174.93418,-41.22662
Waiwhetu North,174.91417,-41.22135
Waiwhetu North,174.92458,-41.22485
Waiwhetu North,174.91636,-41.21894
Waiwhetu North,174.936,-41.22387
Waiwhetu North,174.92201,-41.22421
Waiwhetu North,174.9186,-41.22104
Waiwhetu North,174.93628,-41.22491
Waiwhetu North,174.93552,-41.22642
Waiwhetu North,174.91816,-41.22336
Waiwhetu North,174.91765,-41.22127
Waiwhetu North,174.93693,-41.22416
Waiwhetu North,174.91143,-41.22192
Waiwhetu North,174.91678,-41.22223
Waiwhetu North,174.91684,-41.22215
Waiwhetu North,174.92238,-41.22396
Waiwhetu North,174.92498,-41.22255
Waiwhetu North,174.93278,-41.22402
Waiwhetu North,174.91806,-41.22119
Waiwhetu North,174.9301,-41.22664
Waiwhetu North,174.93596,-41.22616
Waiwhetu North,174.92571,-41.22381
Waiwhetu North,174.92915,-41.22601
Waiwhetu North,174.91709,-41.22175
Waiwhetu North,174.91646,-41.22155
Waiwhetu North,174.92641,-41.22606
Waiwhetu North,174.91841,-41.2243
Waiwhetu North,174.91585,-41.21815
Waiwhetu North,174.92953,-41.22624
Waiwhetu North,174.93558,-41.22344
Waiwhetu North,174.93415,-41.22547
Waiwhetu North,174.92749,-41.22319
Waiwhetu North,174.92289,-41.22357
Waiwhetu North,174.92063,-41.22269
Waiwhetu North,174.91649,-41.22202
Waiwhetu North,174.9153,-41.2214
Waiwhetu North,174.93538,-41.22719
Waiwhetu North,174.91138,-41.22204
Waiwhetu North,174.91324,-41.21979
Ngauranga East,174.81415,-41.244
Ngauranga East,174.81299,-41.24891
Ngauranga East,174.81345,-41.23821
Ngauranga East,174.81701,-41.24404
Ngauranga East,174.8208,-41.24009
Ngauranga East,174.81692,-41.2434
Ngauranga East,174.81287,-41.24808
Ngauranga East,174.81908,-41.23536
Ngauranga East,174.82533,-41.23947
Ngauranga East,174.8207,-41.24317
Ngauranga East,174.82084,-41.24254
Ngauranga East,174.82048,-41.24347
Ngauranga East,174.81629,-41.24169
Ngauranga East,174.82252,-41.23634
Ngauranga East,174.82079,-41.23779
Ngauranga East,174.81417,-41.23715
Ngauranga East,174.81599,-41.23927
Ngauranga East,174.81521,-41.23668
Ngauranga East,174.82529,-41.23922
Ngauranga East,174.82444,-41.23842
Ngauranga East,174.82041,-41.23959
Ngauranga East,174.82223,-41.23993
Ngauranga East,174.80663,-41.23897
Ngauranga East,174.81982,-41.24167
Ngauranga East,174.82423,-41.23923
Ngauranga East,174.82137,-41.24125
Ngauranga East,174.8216,-41.24262
Ngauranga East,174.80826,-41.23854
Ngauranga East,174.81911,-41.24393
Ngauranga East,174.80594,-41.23797
Ngauranga East,174.81731,-41.23914
Ngauranga East,174.80742,-41.23866
Ngauranga East,174.80677,-41.23553
Ngauranga East,174.8214,-41.24296
Ngauranga East,174.8218,-41.23914
Ngauranga East,174.81296,-41.24181
Ngauranga East,174.81557,-41.24463
Ngauranga East,174.80558,-41.23645
