2013 area unit name,WGS84 longitude of centroid of area unit,WGS84 latitude of centroid of area unit
Adelaide,174.78209,-41.30701
Adventure,174.89262,-41.13399
Akatarawa,175.11788,-41.08158
Alicetown,174.89165,-41.21627
Arakura,174.94281,-41.23551
Aro Street-Nairn Street,174.76593,-41.29729
Ascot Park,174.87343,-41.11992
Avalon East,174.94453,-41.19582
Avalon West,174.94109,-41.1909
Awarua,174.77053,-41.24496
Belmont,174.90941,-41.17127
Berhampore East,174.77821,-41.32527
Berhampore West,174.77217,-41.32261
Boulcott,174.92438,-41.19937
Brentwood,175.03679,-41.1289
Brooklyn,174.75897,-41.30463
Brooklyn South,174.75549,-41.31398
Cannons Creek East,174.87147,-41.13669
Cannons Creek North,174.86279,-41.13977
Cannons Creek South,174.86619,-41.14993
Carterton,175.51953,-41.02818
Churton Park North,174.80532,-41.19634
Churton Park South,174.80632,-41.2109
Clouston Park,175.08753,-41.12044
Cloustonville,175.12884,-41.03049
Crofton Downs,174.75772,-41.25513
Dannevirke East,176.10614,-40.20609
Dannevirke West,176.10238,-40.19716
Delaney,174.97841,-41.18547
Discovery,174.88827,-41.11058
Eastbourne,174.90959,-41.28409
Ebdentown,175.07271,-41.11854
Eketahuna,175.70155,-40.64866
Elderslea,175.0571,-41.11991
Elsdon-Takapuwahia,174.8108,-41.132
Emerald Hill,175.10039,-41.09696
Endeavour,174.90247,-41.11349
Epuni East,174.93779,-41.21067
Epuni West,174.92733,-41.20573
Esplanade,174.88875,-41.2307
Featherston,175.32688,-41.11586
Fernlea,174.93334,-41.26437
Glendale,174.95637,-41.23802
Glenside North,174.81856,-41.19649
Gracefield,174.90977,-41.24075
Greenacres,174.83862,-41.16408
Grenada North,174.84144,-41.18843
Grenada Village,174.82561,-41.20445
Greytown,175.45496,-41.08095
Happy Valley-Owhiro Bay,174.75804,-41.33419
Hataitai North,174.79742,-41.30168
Haywards-Manor Park,174.9756,-41.15006
Heretaunga,175.01813,-41.13844
Heretaunga-Silverstream,175.01164,-41.14865
Holborn,174.97737,-41.16892
Homebush-Te Ore Ore,175.68608,-40.9689
Homedale East,174.96121,-41.27227
Homedale West,174.9467,-41.27903
Horokiwi,174.84967,-41.20675
Hutt Central,174.90814,-41.21133
Island Bay East,174.77601,-41.33698
Island Bay West,174.76832,-41.33823
Johnsonville Central,174.80076,-41.22184
Johnsonville East,174.81119,-41.22463
Johnsonville North,174.80477,-41.21691
Kahutara,175.3038,-41.21916
Kaitawa,175.12506,-40.87457
Kaiwharawhara,174.79067,-41.25902
Kapiti Island,174.91095,-40.85588
Karaka Bay-Worser Bay,174.82901,-41.30851
Karori East,174.74385,-41.29805
Karori North,174.74572,-41.27744
Karori Park,174.72218,-41.28728
Karori South,174.73077,-41.29384
Kelburn,174.76412,-41.28714
Kelson,174.94699,-41.16697
Khandallah Park-Broadmeadows,174.78664,-41.2357
Kilbirnie East,174.79988,-41.31917
Kilbirnie West-Hataitai South,174.79298,-41.31208
Kingston-Mornington,174.76429,-41.32137
Kopuaranga,175.62952,-40.81038
Korokoro,174.8666,-41.21557
Lambton,174.77463,-41.28571
Lansdowne,175.6765,-40.94241
Linden,174.83149,-41.15725
Lyall Bay-Airport-Moa Point,174.80572,-41.32957
Maidstone,175.07205,-41.12965
Makara-Ohariu,174.71366,-41.25922
Mana Island,174.78119,-41.08775
Mana-Camborne,174.8749,-41.09062
Mangaroa,175.11763,-41.15757
Mangatainoka,175.89198,-40.48084
Manuka,174.99316,-41.19115
Maoribank,175.11026,-41.10485
Mara,176.24977,-40.7076
Martinborough,175.45862,-41.21981
Masterton Central,175.65921,-40.95024
Masterton East,175.66415,-40.95737
Masterton Railway,175.64588,-40.94374
Masterton West,175.64803,-40.94862
Maungakotukutuku,175.04917,-40.94843
Maungaraki,174.87609,-41.2004
Maupuia,174.82412,-41.29682
Melling,174.89833,-41.20878
Melrose-Houghton Bay-Southgate,174.78617,-41.33568
Miramar,174.82042,-41.31454
Miramar North,174.82496,-41.30525
Miramar South,174.81454,-41.32063
Miramar West,174.8153,-41.31166
Mitchelltown,174.75541,-41.29672
Moera,174.90363,-41.22793
Moonshine Valley,175.00824,-41.11013
Mt Cook-Wallace Street,174.77408,-41.3032
Mt Holdsworth,175.44709,-40.91584
Mt Victoria West,174.78775,-41.2981
Naenae North,174.96864,-41.20402
Naenae South,174.95244,-41.20979
Newlands East,174.83755,-41.22398
Newlands North,174.81871,-41.225
Newlands South,174.82297,-41.23157
Newtown East,174.78435,-41.31888
Newtown West,174.77611,-41.31292
Ngaio South,174.7762,-41.25315
Ngaumutawa,175.63623,-40.94118
Ngauranga East,174.81693,-41.24061
Ngauranga West,174.80607,-41.24174
Nireaha-Tiraumea,175.80406,-40.65381
Normandale,174.89215,-41.19858
Norsewood-Herbertville,176.24065,-40.26216
Northland,174.75922,-41.28139
Northland North,174.76214,-41.27524
Onepoto,174.85285,-41.10399
Opaki-Fernridge,175.64492,-40.92084
Oriental Bay,174.79456,-41.29139
Otaihanga,175.02574,-40.8834
Otaki,175.14125,-40.75646
Otaki Forks,175.24732,-40.83738
Owahanga,176.26415,-40.55292
Paekakariki,174.96921,-40.97159
Paekakariki Hill,174.92567,-41.03854
Pahiatua,175.83817,-40.45541
Papakowhai North,174.86349,-41.11593
Papakowhai South,174.85693,-41.12826
Paparangi,174.82195,-41.21752
Paparangi West,174.81551,-41.21543
Papatawa,175.94572,-40.30987
Paraparaumu Beach North,174.99878,-40.88084
Paraparaumu Beach South,174.98829,-40.89302
Paraparaumu Central,175.00615,-40.90696
Paremata-Postgate,174.87596,-41.10823
Parkway,174.93454,-41.24827
Pauatahanui,174.94507,-41.09762
Peka Peka,175.06673,-40.84061
Pencarrow,174.96969,-41.3173
Petone Central,174.87465,-41.22248
Pinehaven,175.01731,-41.16764
Plimmerton,174.86378,-41.06988
Poets Block,175.04565,-41.12369
Porirua Central,174.82501,-41.1472
Porirua East,174.85364,-41.14202
Pukerua Bay,174.8738,-41.04401
Rangoon Heights,174.80131,-41.24492
Ranui Heights,174.85009,-41.15161
Raroa,174.79739,-41.22777
Raumati Beach,174.98689,-40.91853
Raumati South,174.98329,-40.94126
Resolution,174.91079,-41.1276
Riverstone Terraces,175.03822,-41.11208
Roseneath,174.80082,-41.29233
Seatoun,174.82969,-41.32904
Seatoun Tunnel West,174.82284,-41.32307
Solway North,175.62988,-40.95785
Solway South,175.6355,-40.96614
Strathmore Park,174.82051,-41.33167
Taita North,174.96521,-41.17234
Taita South,174.95969,-41.18378
Taitville,174.75752,-41.29222
Takapu,174.86382,-41.16803
Tawa Central,174.82081,-41.16895
Tawa South,174.82035,-41.18154
Tawhai,174.99621,-41.17046
Te Horo,175.10427,-40.80146
Te Kainga,174.79349,-41.25116
Te Marua,175.14028,-41.09487
Te Wharau,175.72208,-41.15631
Thorndon-Tinakori Road,174.77859,-41.27326
Tirohanga,174.90404,-41.19769
Titahi Bay North,174.84384,-41.09868
Titahi Bay South,174.82699,-41.11339
Totara Park,175.08441,-41.1093
Trentham North,175.04563,-41.13283
Trentham South,175.04093,-41.14899
Tuturumuri,175.50073,-41.40233
Upper Hutt Central,175.07004,-41.12369
Vogeltown,174.76941,-41.31348
Vogeltown West,174.76446,-41.31239
Wadestown,174.77562,-41.26224
Waikanae Beach,175.02708,-40.86464
Waikanae East,175.07722,-40.87353
Waikanae Park,175.04926,-40.86251
Waikanae West,175.06642,-40.866
Waingawa,175.61087,-40.98504
Waitangirua,174.88237,-41.13531
Waiwhetu North,174.92401,-41.2234
Waiwhetu South,174.92044,-41.22853
Wallaceville,175.06088,-41.1288
Waterloo East,174.93024,-41.21782
Waterloo West,174.91788,-41.214
Whareama,175.97891,-40.92188
Wilford,174.89068,-41.22477
Willis Street-Cambridge Terrace,174.77836,-41.29365
Wilton,174.75792,-41.26819
Woburn North,174.90892,-41.2191
Woburn South,174.9038,-41.22237
Woodridge,174.8346,-41.21626
Woodville,175.86636,-40.33674
