origin area unit,destination area unit,distance (kilometers),time (hours)
Adelaide,Adelaide,0.0,0.0
Adelaide,Adventure,27.736,1.454
Adelaide,Akatarawa,45.832,2.244
Adelaide,Alicetown,18.103,0.749
Adelaide,Arakura,33.482,1.364
Adelaide,Aro Street-Nairn Street,3.241,0.528
Adelaide,Ascot Park,29.477,1.395
Adelaide,Avalon East,23.402,1.141
Adelaide,Avalon West,25.869,1.22
Adelaide,Awarua,11.481,0.948
Adelaide,Belmont,29.12,1.985
Adelaide,Berhampore East,3.092,0.33
Adelaide,Berhampore West,2.934,0.303
Adelaide,Boulcott,23.044,1.33
Adelaide,Brentwood,35.545,1.574
Adelaide,Brooklyn,6.64,0.658
Adelaide,Brooklyn South,3.938,0.945
Adelaide,Cannons Creek East,26.369,1.301
Adelaide,Cannons Creek North,25.538,1.261
Adelaide,Cannons Creek South,26.846,1.386
Adelaide,Carterton,82.244,2.138
Adelaide,Churton Park North,26.044,1.887
Adelaide,Churton Park South,16.91,1.371
Adelaide,Clouston Park,39.583,1.657
Adelaide,Cloustonville,51.509,1.857
Adelaide,Crofton Downs,14.726,1.199
Adelaide,Dannevirke East,180.219,4.527
Adelaide,Dannevirke West,181.194,4.741
Adelaide,Delaney,33.162,1.471
Adelaide,Discovery,31.527,1.469
Adelaide,Eastbourne,29.823,1.33
Adelaide,Ebdentown,38.558,1.661
Adelaide,Eketahuna,192.805,4.537
Adelaide,Elderslea,37.537,1.644
Adelaide,Elsdon-Takapuwahia,26.631,1.672
Adelaide,Emerald Hill,45.255,2.01
Adelaide,Endeavour,34.893,3.394
Adelaide,Epuni East,24.292,1.193
Adelaide,Epuni West,23.213,1.309
Adelaide,Esplanade,17.463,0.833
Adelaide,Featherston,62.163,1.647
Adelaide,Fernlea,28.313,1.579
Adelaide,Glendale,36.25,1.489
Adelaide,Glenside North,22.591,1.313
Adelaide,Gracefield,19.931,1.599
Adelaide,Greenacres,20.94,1.253
Adelaide,Grenada North,18.805,1.372
Adelaide,Grenada Village,25.358,1.835
Adelaide,Greytown,80.086,2.043
Adelaide,Happy Valley-Owhiro Bay,5.9,0.773
Adelaide,Hataitai North,4.446,0.467
Adelaide,Haywards-Manor Park,30.653,1.726
Adelaide,Heretaunga,34.127,1.491
Adelaide,Heretaunga-Silverstream,31.754,1.274
Adelaide,Holborn,29.223,1.765
Adelaide,Homebush-Te Ore Ore,103.339,4.782
Adelaide,Homedale East,29.93,1.574
Adelaide,Homedale West,37.106,1.456
Adelaide,Horokiwi,21.841,1.919
Adelaide,Hutt Central,19.893,0.866
Adelaide,Island Bay East,4.847,0.465
Adelaide,Island Bay West,4.827,0.462
Adelaide,Johnsonville Central,12.042,0.916
Adelaide,Johnsonville East,13.932,1.076
Adelaide,Johnsonville North,12.525,1.043
Adelaide,Kahutara,82.094,1.941
Adelaide,Kaitawa,70.387,3.388
Adelaide,Kaiwharawhara,7.254,0.342
Adelaide,Kapiti Island,,
Adelaide,Karaka Bay-Worser Bay,11.139,0.92
Adelaide,Karori East,8.805,0.769
Adelaide,Karori North,9.322,0.579
Adelaide,Karori Park,10.869,0.544
Adelaide,Karori South,12.668,0.946
Adelaide,Kelburn,4.4,0.626
Adelaide,Kelson,,
Adelaide,Khandallah Park-Broadmeadows,16.98,1.628
Adelaide,Kilbirnie East,3.948,0.241
Adelaide,Kilbirnie West-Hataitai South,3.089,0.257
Adelaide,Kingston-Mornington,8.245,0.581
Adelaide,Kopuaranga,,
Adelaide,Korokoro,17.351,1.383
Adelaide,Lambton,3.75,0.341
Adelaide,Lansdowne,98.118,2.73
Adelaide,Linden,19.877,0.978
Adelaide,Lyall Bay-Airport-Moa Point,11.112,0.713
Adelaide,Maidstone,37.689,1.491
Adelaide,Makara-Ohariu,23.148,1.014
Adelaide,Mana Island,29.385,1.42
Adelaide,Mana-Camborne,28.842,1.33
Adelaide,Mangaroa,53.569,1.905
Adelaide,Mangatainoka,177.091,4.401
Adelaide,Manuka,34.396,1.328
Adelaide,Maoribank,43.141,1.779
Adelaide,Mara,,
Adelaide,Martinborough,81.403,2.048
Adelaide,Masterton Central,96.762,2.429
Adelaide,Masterton East,227.883,5.279
Adelaide,Masterton Railway,94.815,2.299
Adelaide,Masterton West,94.783,2.293
Adelaide,Maungakotukutuku,62.538,1.916
Adelaide,Maungaraki,27.026,1.195
Adelaide,Maupuia,9.571,0.915
Adelaide,Melling,19.186,0.894
Adelaide,Melrose-Houghton Bay-Southgate,5.045,0.695
Adelaide,Miramar,9.535,0.73
Adelaide,Miramar North,10.786,0.803
Adelaide,Miramar South,5.91,0.355
Adelaide,Miramar West,9.803,0.791
