TA,Market.Rent.Area,Property.Type,Bedrooms,2013.Q3
Auckland,Avondale,Apartment,1,NA
Auckland,Avondale,Apartment,2,NA
Auckland,Avondale,Apartment,3,NA
Auckland,Avondale,Apartment,4,NA
Auckland,Avondale,Apartment,5+,NA
Auckland,Avondale,Apartment,Total,NA
Auckland,Avondale,Flat,1,NA
Auckland,Avondale,Flat,2,291.5
Auckland,Avondale,Flat,3,NA
Auckland,Avondale,Flat,4,NA
Auckland,Avondale,Flat,5+,NA
Auckland,Avondale,Flat,Total,322.1428571429
Auckland,Avondale,House,1,NA
Auckland,Avondale,House,2,NA
Auckland,Avondale,House,3,430.8333333333
Auckland,Avondale,House,4,507.1428571429
Auckland,Avondale,House,5+,NA
Auckland,Avondale,House,Total,438.4782608696
Auckland,Avondale,Total,1,244.2857142857
Auckland,Avondale,Total,2,308.5714285714
Auckland,Avondale,Total,3,427.96875
Auckland,Avondale,Total,4,507.1428571429
Auckland,Avondale,Total,5+,NA
Auckland,Avondale,Total,Total,395.7971014493
Auckland,Balmoral,Apartment,1,NA
Auckland,Balmoral,Apartment,2,NA
Auckland,Balmoral,Apartment,3,NA
Auckland,Balmoral,Apartment,4,NA
Auckland,Balmoral,Apartment,5+,NA
Auckland,Balmoral,Apartment,Total,NA
Auckland,Balmoral,Flat,1,320
Auckland,Balmoral,Flat,2,372.1428571429
Auckland,Balmoral,Flat,3,NA
Auckland,Balmoral,Flat,4,NA
Auckland,Balmoral,Flat,5+,NA
Auckland,Balmoral,Flat,Total,370.2173913043
Auckland,Balmoral,House,1,NA
Auckland,Balmoral,House,2,NA
Auckland,Balmoral,House,3,594.6875
Auckland,Balmoral,House,4,728
Auckland,Balmoral,House,5+,NA
Auckland,Balmoral,House,Total,648.0357142857
Auckland,Balmoral,Total,1,301.5
Auckland,Balmoral,Total,2,381.875
Auckland,Balmoral,Total,3,587.7777777778
Auckland,Balmoral,Total,4,728
Auckland,Balmoral,Total,5+,NA
Auckland,Balmoral,Total,Total,513.0188679245
Auckland,Blockhouse Bay/New Windsor,Apartment,1,NA
Auckland,Blockhouse Bay/New Windsor,Apartment,2,NA
Auckland,Blockhouse Bay/New Windsor,Apartment,3,NA
Auckland,Blockhouse Bay/New Windsor,Apartment,4,NA
Auckland,Blockhouse Bay/New Windsor,Apartment,5+,NA
Auckland,Blockhouse Bay/New Windsor,Apartment,Total,NA
Auckland,Blockhouse Bay/New Windsor,Flat,1,328.75
Auckland,Blockhouse Bay/New Windsor,Flat,2,342.5
Auckland,Blockhouse Bay/New Windsor,Flat,3,NA
Auckland,Blockhouse Bay/New Windsor,Flat,4,NA
Auckland,Blockhouse Bay/New Windsor,Flat,5+,NA
Auckland,Blockhouse Bay/New Windsor,Flat,Total,348.2352941176
Auckland,Blockhouse Bay/New Windsor,House,1,NA
Auckland,Blockhouse Bay/New Windsor,House,2,363.3333333333
Auckland,Blockhouse Bay/New Windsor,House,3,455.6944444444
Auckland,Blockhouse Bay/New Windsor,House,4,518.6363636364
Auckland,Blockhouse Bay/New Windsor,House,5+,NA
Auckland,Blockhouse Bay/New Windsor,House,Total,463.0508474576
Auckland,Blockhouse Bay/New Windsor,Total,1,323.3333333333
Auckland,Blockhouse Bay/New Windsor,Total,2,352.9166666667
Auckland,Blockhouse Bay/New Windsor,Total,3,457.1052631579
Auckland,Blockhouse Bay/New Windsor,Total,4,518.6363636364
Auckland,Blockhouse Bay/New Windsor,Total,5+,NA
Auckland,Blockhouse Bay/New Windsor,Total,Total,439.5833333333
Auckland,Central East,Apartment,1,355.6102564103
Auckland,Central East,Apartment,2,452.1649484536
Auckland,Central East,Apartment,3,761
Auckland,Central East,Apartment,4,NA
Auckland,Central East,Apartment,5+,NA
Auckland,Central East,Apartment,Total,391.3130193906
Auckland,Central East,Flat,1,381.75
Auckland,Central East,Flat,2,495
Auckland,Central East,Flat,3,NA
Auckland,Central East,Flat,4,NA
Auckland,Central East,Flat,5+,NA
Auckland,Central East,Flat,Total,460.44
Auckland,Central East,House,1,NA
Auckland,Central East,House,2,NA
Auckland,Central East,House,3,NA
Auckland,Central East,House,4,NA
Auckland,Central East,House,5+,NA
Auckland,Central East,House,Total,NA
Auckland,Central East,Total,1,349.1806167401
Auckland,Central East,Total,2,458.2568807339
Auckland,Central East,Total,3,867.5
Auckland,Central East,Total,4,NA
Auckland,Central East,Total,5+,NA
Auckland,Central East,Total,Total,389.875
Auckland,Central West,Apartment,1,347.86875
Auckland,Central West,Apartment,2,414.8175182482
Auckland,Central West,Apartment,3,604.2857142857
Auckland,Central West,Apartment,4,446
Auckland,Central West,Apartment,5+,NA
Auckland,Central West,Apartment,Total,390.6005154639
Auckland,Central West,Flat,1,335.7692307692
Auckland,Central West,Flat,2,443.75
Auckland,Central West,Flat,3,NA
Auckland,Central West,Flat,4,NA
Auckland,Central West,Flat,5+,NA
Auckland,Central West,Flat,Total,392.9166666667
Auckland,Central West,House,1,NA
Auckland,Central West,House,2,NA
Auckland,Central West,House,3,NA
Auckland,Central West,House,4,NA
Auckland,Central West,House,5+,NA
Auckland,Central West,House,Total,463.3333333333
Auckland,Central West,Total,1,344.5300546448
Auckland,Central West,Total,2,416.3945578231
Auckland,Central West,Total,3,617.3333333333
Auckland,Central West,Total,4,446
Auckland,Central West,Total,5+,NA
Auckland,Central West,Total,Total,386.9727891156
Auckland,Eden Terrace,Apartment,1,310.4166666667
Auckland,Eden Terrace,Apartment,2,476.4285714286
Auckland,Eden Terrace,Apartment,3,NA
Auckland,Eden Terrace,Apartment,4,NA
Auckland,Eden Terrace,Apartment,5+,NA
Auckland,Eden Terrace,Apartment,Total,375.8888888889
Auckland,Eden Terrace,Flat,1,NA
Auckland,Eden Terrace,Flat,2,415.7142857143
Auckland,Eden Terrace,Flat,3,NA
Auckland,Eden Terrace,Flat,4,NA
Auckland,Eden Terrace,Flat,5+,NA
Auckland,Eden Terrace,Flat,Total,415.7142857143
Auckland,Eden Terrace,House,1,NA
Auckland,Eden Terrace,House,2,NA
Auckland,Eden Terrace,House,3,NA
Auckland,Eden Terrace,House,4,NA
Auckland,Eden Terrace,House,5+,NA
Auckland,Eden Terrace,House,Total,NA
Auckland,Eden Terrace,Total,1,300.3846153846
Auckland,Eden Terrace,Total,2,456.1904761905
Auckland,Eden Terrace,Total,3,NA
Auckland,Eden Terrace,Total,4,NA
