area unit number,area unit name, number of bedrooms in dwelling,count,median rent paid,mean rent paid
500100,Awanui,1,12,110,120
500100,Awanui,2,6,200,200
500100,Awanui,3,18,190,180
500100,Awanui,4,3,,
500100,Awanui,5,3,,
500100,Awanui,6+,0,,
500100,Awanui,Not Elsewhere Included,0,,
500100,Awanui,Total,42,150,470
500202,Karikari Peninsula-Maungataniwha,1,24,140,120
500202,Karikari Peninsula-Maungataniwha,2,63,180,170
500202,Karikari Peninsula-Maungataniwha,3,114,190,190
500202,Karikari Peninsula-Maungataniwha,4,60,250,240
500202,Karikari Peninsula-Maungataniwha,5,9,250,250
500202,Karikari Peninsula-Maungataniwha,6+,3,,
500202,Karikari Peninsula-Maungataniwha,Not Elsewhere Included,3,,
500202,Karikari Peninsula-Maungataniwha,Total,276,200,190
500203,Taipa Bay-Mangonui,1,24,150,150
500203,Taipa Bay-Mangonui,2,66,200,220
500203,Taipa Bay-Mangonui,3,108,250,240
500203,Taipa Bay-Mangonui,4,24,300,290
500203,Taipa Bay-Mangonui,5,6,290,290
500203,Taipa Bay-Mangonui,6+,3,,
500203,Taipa Bay-Mangonui,Not Elsewhere Included,0,,
500203,Taipa Bay-Mangonui,Total,234,220,220
500204,Herekino,1,12,180,340
500204,Herekino,2,33,150,150
500204,Herekino,3,57,200,200
500204,Herekino,4,21,220,210
500204,Herekino,5,6,130,130
500204,Herekino,6+,0,,
500204,Herekino,Not Elsewhere Included,3,,
500204,Herekino,Total,132,180,190
500205,Ahipara,1,12,130,130
500205,Ahipara,2,30,180,170
500205,Ahipara,3,42,250,230
500205,Ahipara,4,15,300,290
500205,Ahipara,5,6,,
500205,Ahipara,6+,0,,
500205,Ahipara,Not Elsewhere Included,0,,
500205,Ahipara,Total,105,220,220
500206,Nortape,1,3,,
500206,Nortape,2,6,0,0
500206,Nortape,3,27,110,110
500206,Nortape,4,9,500,500
500206,Nortape,5,0,,
500206,Nortape,6+,0,,
500206,Nortape,Not Elsewhere Included,0,,
500206,Nortape,Total,45,100,100
500207,Houhora,1,9,90,90
500207,Houhora,2,15,160,170
500207,Houhora,3,42,200,190
500207,Houhora,4,18,230,230
500207,Houhora,5,3,,
500207,Houhora,6+,0,,
500207,Houhora,Not Elsewhere Included,0,,
500207,Houhora,Total,90,180,180
500208,Motutangi-Kareponia,1,9,100,100
500208,Motutangi-Kareponia,2,21,180,170
500208,Motutangi-Kareponia,3,60,190,180
500208,Motutangi-Kareponia,4,21,210,200
500208,Motutangi-Kareponia,5,6,,
500208,Motutangi-Kareponia,6+,0,,
500208,Motutangi-Kareponia,Not Elsewhere Included,0,,
500208,Motutangi-Kareponia,Total,117,200,180
500301,Kaitaia West,1,60,110,130
500301,Kaitaia West,2,138,180,160
500301,Kaitaia West,3,195,220,200
500301,Kaitaia West,4,60,240,470
500301,Kaitaia West,5,9,230,200
500301,Kaitaia West,6+,3,,
500301,Kaitaia West,Not Elsewhere Included,0,,
500301,Kaitaia West,Total,462,200,210
500302,Kaitaia East,1,12,110,90
500302,Kaitaia East,2,51,180,160
