area unit name,number of bedrooms,count,median weekly rent,mean weekly rent
Awanui,1,12,110,120
Awanui,2,6,200,200
Awanui,3,18,190,180
Awanui,4,3,,
Awanui,5,3,,
Awanui,6+,0,,
Awanui,Not Elsewhere Included,0,,
Awanui,Total,42,150,470
Karikari Peninsula-Maungataniwha,1,24,140,120
Karikari Peninsula-Maungataniwha,2,63,180,170
Karikari Peninsula-Maungataniwha,3,114,190,190
Karikari Peninsula-Maungataniwha,4,60,250,240
Karikari Peninsula-Maungataniwha,5,9,250,250
Karikari Peninsula-Maungataniwha,6+,3,,
Karikari Peninsula-Maungataniwha,Not Elsewhere Included,3,,
Karikari Peninsula-Maungataniwha,Total,276,200,190
Taipa Bay-Mangonui,1,24,150,150
Taipa Bay-Mangonui,2,66,200,220
Taipa Bay-Mangonui,3,108,250,240
Taipa Bay-Mangonui,4,24,300,290
Taipa Bay-Mangonui,5,6,290,290
Taipa Bay-Mangonui,6+,3,,
Taipa Bay-Mangonui,Not Elsewhere Included,0,,
Taipa Bay-Mangonui,Total,234,220,220
Herekino,1,12,180,340
Herekino,2,33,150,150
Herekino,3,57,200,200
Herekino,4,21,220,210
Herekino,5,6,130,130
Herekino,6+,0,,
Herekino,Not Elsewhere Included,3,,
Herekino,Total,132,180,190
Ahipara,1,12,130,130
Ahipara,2,30,180,170
Ahipara,3,42,250,230
Ahipara,4,15,300,290
Ahipara,5,6,,
Ahipara,6+,0,,
Ahipara,Not Elsewhere Included,0,,
Ahipara,Total,105,220,220
North Cape,1,3,,
North Cape,2,6,0,0
North Cape,3,27,110,110
North Cape,4,9,500,500
North Cape,5,0,,
North Cape,6+,0,,
North Cape,Not Elsewhere Included,0,,
North Cape,Total,45,100,100
Houhora,1,9,90,90
Houhora,2,15,160,170
Houhora,3,42,200,190
Houhora,4,18,230,230
Houhora,5,3,,
Houhora,6+,0,,
Houhora,Not Elsewhere Included,0,,
Houhora,Total,90,180,180
Motutangi-Kareponia,1,9,100,100
Motutangi-Kareponia,2,21,180,170
Motutangi-Kareponia,3,60,190,180
Motutangi-Kareponia,4,21,210,200
Motutangi-Kareponia,5,6,,
Motutangi-Kareponia,6+,0,,
Motutangi-Kareponia,Not Elsewhere Included,0,,
Motutangi-Kareponia,Total,117,200,180
Kaitaia West,1,60,110,130
Kaitaia West,2,138,180,160
Kaitaia West,3,195,220,200
Kaitaia West,4,60,240,470
Kaitaia West,5,9,230,200
Kaitaia West,6+,3,,
Kaitaia West,Not Elsewhere Included,0,,
Kaitaia West,Total,462,200,210
Kaitaia East,1,12,110,90
Kaitaia East,2,51,180,160
Kaitaia East,3,138,230,200
Kaitaia East,4,27,250,240
Kaitaia East,5,6,,
Kaitaia East,6+,0,,
Kaitaia East,Not Elsewhere Included,0,,
Kaitaia East,Total,234,210,190
Kaeo,1,9,300,300
Kaeo,2,12,190,180
Kaeo,3,30,100,100
Kaeo,4,6,,
Kaeo,5,3,,
Kaeo,6+,0,,
Kaeo,Not Elsewhere Included,0,,
Kaeo,Total,54,180,190
Mangapa-Matauri Bay,1,15,120,120
Mangapa-Matauri Bay,2,51,160,160
Mangapa-Matauri Bay,3,69,180,180
Mangapa-Matauri Bay,4,33,220,210
Mangapa-Matauri Bay,5,6,130,140
Mangapa-Matauri Bay,6+,3,,
Mangapa-Matauri Bay,Not Elsewhere Included,0,,
Mangapa-Matauri Bay,Total,174,180,180
Kohukohu,1,6,110,110
Kohukohu,2,,,
Kohukohu,3,6,140,140
Kohukohu,4,,,
Kohukohu,5,,,
Kohukohu,6+,,,
Kohukohu,Not Elsewhere Included,,,
Kohukohu,Total,18,110,110
Rawene,1,12,130,120
Rawene,2,15,210,200
Rawene,3,33,190,170
Rawene,4,6,,
Rawene,5,3,,
Rawene,6+,0,,
Rawene,Not Elsewhere Included,0,,
Rawene,Total,69,150,160
Omapere and Opononi,1,12,150,140
Omapere and Opononi,2,24,170,160
Omapere and Opononi,3,27,200,240
Omapere and Opononi,4,3,,
Omapere and Opononi,5,3,,
Omapere and Opononi,6+,3,,
Omapere and Opononi,Not Elsewhere Included,0,,
Omapere and Opononi,Total,66,170,160
Hokianga North,1,9,100,130
Hokianga North,2,27,100,120
Hokianga North,3,60,130,130
Hokianga North,4,21,110,130
Hokianga North,5,6,,
Hokianga North,6+,3,,
Hokianga North,Not Elsewhere Included,0,,
Hokianga North,Total,126,130,140
Hokianga South,1,21,150,190
Hokianga South,2,36,130,150
Hokianga South,3,75,150,160
Hokianga South,4,18,130,140
Hokianga South,5,6,,
Hokianga South,6+,0,,
Hokianga South,Not Elsewhere Included,3,,
Hokianga South,Total,159,150,170
Kerikeri,1,75,180,170
Kerikeri,2,171,250,230
Kerikeri,3,339,300,340
Kerikeri,4,126,350,340
Kerikeri,5,27,380,390
Kerikeri,6+,3,,
Kerikeri,Not Elsewhere Included,0,,
Kerikeri,Total,741,300,310
Russell,1,12,190,180
Russell,2,27,200,200
Russell,3,30,250,250
Russell,4,9,300,320
Russell,5,3,,
